Year,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences
2014,8868,1988,9626,1098,2236,1874,4812,3724,5102
2015,8783,2003,9875,1057,2220,1815,4859,3776,5369
2016,8863,2082,9459,1227,2248,1872,5024,3910,5193
2017,8567,1998,9774,1169,2443,1844,4913,3925,5188
2018,8782,2000,10164,1185,2473,2022,5144,3821,5054
2019,8678,2220,10298,1272,2532,2010,5306,3909,5134
2020,8403,2363,10468,1241,2606,2024,5000,3865,5060
2021,8131,2360,10230,1064,2249,2010,4710,3777,4875
2022,9206,2607,11516,1181,2472,2247,5467,3952,5236
2023,9566,2686,11398,1231,2435,2165,5456,3883,5196
2024,9700,2982,11169,1229,2509,2093,5401,4083,5285
