Year,Total Int. Enrollment,STEM Enrollments,Social Science Enrollments,STEM Share of Total International Enrollment,STEM and Social Science Share of Total International Enrollment
1998,490933,158305,37255,0.32245744327637377,0.3983435621561394
1999,514723,171520,38629,0.333227774939142,0.4082759076241007
2000,547867,189617,38940,0.34610042218275605,0.41717606645408467
2001,582996,206411,41241,0.35405217188454124,0.4247919368228942
2002,586323,212049,42415,0.3616590172993384,0.433999689590891
2003,572509,207525,50464,0.3624833845406797,0.4506287237405875
2004,565039,193216,42263,0.3419516174989691,0.4167482244588427
2005,564766,184349,42235,0.32641660439899,0.4011997889391359
2006,582984,187061,44983,0.3208681541860497,0.39802807624222963
2007,623805,195369,45535,0.3131892177844038,0.3861847853095118
2008,671616,237404,52631,0.3534817514770345,0.43184647179340574
2009,690923,249555,54853,0.3611907549755906,0.4405816567113846
2010,723277,263675,58345,0.36455604146129356,0.44522361418930784
2011,764495,278684,60974,0.36453345018607053,0.44429067554398655
2012,819644,300951,67786,0.3671728213712295,0.44987457969557515
2013,886052,332102,72390,0.3748109591762109,0.4565104531111041
2014,974926,383538,75951,0.3934021659079766,0.4713065401886912
2015,1043839,433968,81304,0.4157422744312102,0.49363168074770153
2016,1078822,474729,83046,0.4400438626576025,0.5170222705877336
2017,1094792,497413,83708,0.45434475224517534,0.5308049382896477
2018,1095299,515821,84320,0.4709408115957378,0.5479243567281629
2019,1075496,507720,84440,0.47207985896739735,0.5505924708227645
2020,914095,447725,76419,0.489801388258332,0.5734021080959857
2021,948519,467207,78770,0.49256472458643424,0.5756099772381997
2022,1057188,527861,85998,0.49930665122948803,0.5806526369955013
2023,1126690,579802,84307,0.5146065022322023,0.5894336507823802
2024,1177766,618060,86008,0.5247731722600245,0.5977995629012894
