Year,"Africa, Sub-saharan",Asia,Europe,Latin America and the Carribean,Middle East and North Africa,North America,Oceania,Stateless
2000,1269,35620,29638,4680,3125,3735,1576,0
2001,1881,39122,29956,5999,3298,3905,1747,110
2002,1866,39119,28184,6160,3180,4222,1547,6
2003,1628,39121,28006,5404,3043,4125,1521,57
2004,1607,43654,29465,5746,3368,4262,1528,4
2005,1612,47813,31243,6377,3797,4496,1643,0
2006,1625,49551,30458,6596,4094,4398,1510,8
2007,1753,55553,31343,7000,4227,4758,1484,5
2008,2795,59664,32769,7612,4480,4692,1482,0
2009,1954,62667,32826,6969,4626,4694,1362,0
2010,1852,62736,33160,6993,4510,4745,1302,15
2011,1887,63693,33377,7365,4836,4493,1263,2
2012,2132,66066,34136,8239,5439,4741,1295,11
2013,1844,66259,34015,8599,5309,4551,1322,15
2014,1989,69515,32336,9546,5608,4611,1252,4
2015,2057,75915,33496,9931,6238,4976,1398,3
2016,2219,76319,33356,9565,6549,5018,1350,3
2017,2479,77694,32493,9919,6356,4688,1375,5
2018,2381,80490,31246,10153,6246,4634,1411,2
2019,1960,73389,27129,9659,5673,4399,1296,3
2020,1483,50922,17145,6810,4386,3863,925,4
2021,2220,48292,21782,8826,4830,3993,946,2
2022,3213,52701,24876,10789,5941,3832,1005,9
2023,3513,60125,25747,11856,6219,4011,1072,9
2024,3508,64606,24794,11867,6451,4213,1098,3
