Year,"Science, technology, engineering, and math",Non-STEM,Agriculture,Engineering,Health professions,Math and computer science,Physical and life sciences,Social sciences,Business and management,Humanities,Fine and applied arts,Education,Legal studies and law enforcement*,Communications and journalism*,Other fields of specialization
2013,90825.93,21213.036,5242.302,18896.67,16336.476,6949.098000000001,43401.384000000005,9753.12,4145.076,4632.732,1950.6240000000003,2316.366,,,8168.238
2014,92646.86200000001,21850.675000000003,5618.745,20227.482,16356.791,7117.077000000001,43326.767,9988.88,4120.413,4744.718,2122.6369999999997,2372.359,1997.776,1123.749,5369.022999999999
2015,101850.64,21978.296000000002,5628.588000000001,22246.324000000004,19029.987999999998,8308.868,46502.85800000001,10319.078000000001,4690.49,4958.518,2680.28,2680.28,2144.224,1206.126,3618.3780000000006
2016,102128.04,22710.051,6181.433999999999,22978.809000000005,19619.334,8062.74,45285.723000000005,9540.909,4300.128000000001,4703.265,2418.822,2418.822,2015.685,1075.0320000000002,5778.297
2017,103956.93,21196.413,6345.423000000001,23761.584000000003,19441.296000000002,8100.54,46308.08699999999,9720.648000000001,4725.315,4995.3330000000005,2430.1620000000003,2295.153,1890.1259999999997,1215.0810000000001,3645.2430000000004
2018,105563.19900000001,21713.517,6555.024,24171.651,18162.879,8603.469000000001,48206.738999999994,9286.284,5052.831,4643.142,2594.6969999999997,2321.571,1911.8819999999998,1229.067,3960.327
2019,95718.7,19143.739999999998,5804.876,20872.852,17414.628,8028.02,43598.32399999999,8769.068,4199.272,4075.7639999999997,2223.144,2470.16,1729.1119999999999,1111.572,3334.7160000000003
2020,69542.394,10948.864000000001,3763.672,13429.465999999999,12488.548,5474.432000000001,34386.276,5046.742,2395.064,2309.526,1283.07,1111.9940000000001,855.38,598.766,2395.064
2021,72167.454,12542.958,4180.986,13451.868,12542.958,5635.242000000001,36356.4,6089.697000000001,3090.294,2363.166,1545.147,1090.692,999.801,545.346,2908.512
2022,79845.48,15150.168,5118.3,15354.9,13102.848,6039.594,40229.837999999996,7370.352000000001,3685.1760000000004,2559.15,2047.32,1535.49,1535.49,716.562,3070.98
2023,87790.56,16882.8,6302.911999999999,17333.008,14069.0,6865.672,43332.52,7991.191999999999,4051.8720000000003,2813.8,2025.9360000000001,1688.28,1575.7279999999998,787.8639999999999,3939.32
2024,91250.82,17481.0,6409.7,17481.0,15150.2,7575.1,44634.82,7924.72,4545.06,3030.04,2214.26,1748.1,1515.02,815.78,3612.74
