Year,France,Germany,Japan,Korea,United Kingdom,United States,EU27,OECD,China
1991,2.296130692,2.377944346,2.629913501,1.653795409,1.872320461,2.620779786,1.702671789,2.13731634,0.722489794
1992,2.302479514,2.26263023,2.57876092,1.733478653,1.839713168,2.543400047,1.681651589,2.09086721,0.725501546
1993,2.333688308,2.197871929,2.524655489,1.882584176,1.863581515,2.422564273,1.657732699,2.033901794,0.692384358
1994,2.281782643,2.116501571,2.471422294,2.043848549,1.836322256,2.327645214,1.609214317,1.981343575,0.626783076
1995,2.249333351,2.12921934,2.563019132,2.083333023,1.647424121,2.409581781,1.596906426,2.004405424,0.565605282
1996,2.232233219,2.136627121,2.643028325,2.137128276,1.575396734,2.450130197,1.607655323,2.02603088,0.56013937
1997,2.152162956,2.181613426,2.721765284,2.168116916,1.537290029,2.477140331,1.625145725,2.045219176,0.634665005
1998,2.10343716,2.207483126,2.827451354,2.034999153,1.547769508,2.496210615,1.632968662,2.072023701,0.641852979
1999,2.116506562,2.327719185,2.84671783,1.943788353,1.622685868,2.543615668,1.68548276,2.115884275,0.742950506
2000,2.100660779,2.386541373,2.858408118,2.04940549,1.609626873,2.619834724,1.715133316,2.153975698,0.884095723
2001,2.149401704,2.379195593,2.923484997,2.198718861,1.595449053,2.637146781,1.735736454,2.187514619,0.929480292
2002,2.187580908,2.40856456,2.965137192,2.130415626,1.613829999,2.54745401,1.743465408,2.162773016,1.044181462
2003,2.130852649,2.442322999,2.993195203,2.196572764,1.581305122,2.550152971,1.736500244,2.164885709,1.104649035
2004,2.104382926,2.402776358,2.981245971,2.352920693,1.530888672,2.486855413,1.714876459,2.139132742,1.197317144
2005,2.055996776,2.40265936,3.130918982,2.427251636,1.550042216,2.50192554,1.71259634,2.166840577,1.290087595
2006,2.053304654,2.430433933,3.227655613,2.615154105,1.576256863,2.545451755,1.732842851,2.196837621,1.349230923
2007,2.028152442,2.419182526,3.292571953,2.758945599,1.618298474,2.615158473,1.733352622,2.236545643,1.353215428
2008,2.063634623,2.571915784,3.292238812,2.86773325,1.609011734,2.744812375,1.80651363,2.277860013,1.42330202
2009,2.212729997,2.689612185,3.195898318,3.021455912,1.669910034,2.791809155,1.881620342,2.321465427,1.636601775
2010,2.177715247,2.677141377,3.104951313,3.179130089,1.638864246,2.714438084,1.885619274,2.281971372,1.684560861
2011,2.187605273,2.75105746,3.205366018,3.444101844,1.646810097,2.738027807,1.914673986,2.303826805,1.752446261
2012,2.227617501,2.826097354,3.173705284,3.685191076,1.575874635,2.672725494,1.968491029,2.299659209,1.880951529
2013,2.233688191,2.781443017,3.27895603,3.774874742,1.620957234,2.695915799,1.973538183,2.322190151,1.962460673
2014,2.271723455,2.822838427,3.367875199,3.889821059,2.26487962,2.708809983,1.99645028,2.345315998,1.984746732
2015,2.224012693,2.8759623,3.240707296,3.789078648,2.275659018,2.773279437,1.998161547,2.359262289,2.017032406
2016,2.224683926,2.884741723,3.106656458,3.786389673,2.320516458,2.836763988,1.979228872,2.355355819,2.059497185
2017,2.204216425,2.986808596,3.166356159,4.073405361,2.326016263,2.883148374,2.016560312,2.395829813,2.077706488
2018,2.204068095,3.047994485,3.219196015,4.27153981,2.708880344,2.989555451,2.057477076,2.472520523,2.102320196
2019,2.196680397,3.110452381,3.218237396,4.363781528,2.670698292,3.1429692,2.091573101,2.539705527,2.201430061
2020,2.274201474,3.088716876,3.26555705,4.521408849,2.939933044,3.417876797,2.163204819,2.69695289,2.357123977
2021,2.2127829,3.073686254,3.27382694,4.596725801,2.89967533,3.468907851,2.120474099,2.684009266,2.381645893
2022,2.220574912,3.043604611,3.400532198,4.847530126,2.752239526,3.487356217,2.104600375,2.671713124,2.494501536
2023,2.175165889,3.128664165,3.44124934,4.958960136,2.676140138,3.447162913,2.142147033,2.703095914,2.577284878
