Country or economy and field,China,India,South Korea,Iran,Bangladesh,Saudi Arabia,Taiwan,Canada,Turkey,Nepal
2013,4443,2075,1012,380,96,53,571,335,392,D
2014,4653,2209,930,463,127,76,559,325,360,163
2015,4971,2119,920,608,146,98,516,325,386,162
2016,5141,2085,892,664,178,175,500,275,380,208
2017,5147,1885,818,728,225,232,435,288,393,209
2018,5692,1922,729,869,271,294,445,307,364,219
2019,5755,1910,824,882,271,431,426,313,324,230
2020,5730,2111,756,896,369,471,417,281,305,D
2021,5605,2138,733,741,381,368,375,267,272,242
2022,6029,2513,761,791,522,385,374,356,289,305
2023,5981,2583,800,597,528,373,420,300,289,311
