Year,U.S. citizens and permanent residents,Temporary visa holders
1980,8307,4735
1981,8504,5227
1982,8393,5305
1983,9063,5499
1984,9248,5731
1985,9300,6276
1986,9660,6852
1987,9835,7534
1988,9856,8168
1989,10028,8950
1990,10056,9797
1991,10152,10443
1992,10417,11097
1993,10792,11427
1994,11451,11730
1995,11824,11688
1996,11880,12012
1997,11746,12547
1998,12016,13007
1999,11707,14077
2000,11558,15353
2001,11108,15936
2002,12407,15964
2003,12409,17447
2004,12672,17444
2005,12665,17625
2006,12573,17672
2007,13513,17768
2008,14375,18366
2009,15800,18588
2010,17793,19558
2011,17706,19629
2012,17476,19262
2013,17551,18738
2014,17661,19655
2015,17072,20567
2016,17615,20326
2017,17993,20248
2018,17447,20117
2019,17344,21159
2020,18276,20465
2021,17860,19329
2022,16542,20131
2023,16635,21347
