Year,Physical Sciences,Life Sciences,Engineering,Computer Science,Average
2014,44.82,41.68,41.22,-,42.57
2015,43.45,41.56,39.94,-,41.65
2016,37.71,41.19,37.74,-,38.88
2017,40.39,42.69,44.86,41.76,42.43
2018,37.34,41.09,40.72,41.59,40.19
2019,35.73,39.88,40.16,38.44,38.55
2020,36.19,41.32,39.22,40.29,39.26
2021,37.17,41.03,41.16,39.09,39.61
2022,36.89,41.75,40.94,39.89,39.87
2023,37.41,40.15,41.29,43.75,40.65
2024,42.55,39.35,40.53,44.08,41.63
2025,41.74,39.12,41.18,37.97,40.0
2026,43.42,39.82,41.63,37.97,40.71
