Year,Doctorate recipients (number),Just S&E fields,Non-S&E Fields
1958,8773,5751,3022
1959,9213,6043,3170
1960,9733,6388,3345
1961,10413,6872,3541
1962,11500,7612,3888
1963,12728,8422,4306
1964,14325,9462,4863
1965,16340,10706,5634
1966,17949,11732,6217
1967,20403,13274,7129
1968,22937,14824,8113
1969,25743,16574,9169
1970,29498,18458,11040
1971,31867,19904,11963
1972,33041,19791,13250
1973,33755,19838,13917
1974,33047,19170,13877
1975,32952,19237,13715
1976,32946,18857,14089
1977,31716,18327,13389
1978,30875,17977,12898
1979,31238,18241,12997
1980,31019,18190,12829
1981,31355,18739,12616
1982,31108,18765,12343
1983,31280,19130,12150
1984,31334,19309,12025
1985,31295,19527,11768
1986,31897,20088,11809
1987,32365,20583,11782
1988,33497,21697,11800
1989,34325,22585,11740
1990,36065,23715,12350
1991,37530,24921,12609
1992,38886,25644,13242
1993,39800,26486,13314
1994,41034,27331,13703
1995,41747,27704,14043
1996,42437,28442,13995
1997,42539,28521,14018
1998,42636,28636,14000
1999,41101,27198,13903
2000,41369,27420,13949
2001,40744,26936,13808
2002,40031,26136,13895
2003,40762,26759,14003
2004,42122,27842,14280
2005,43385,29621,13764
2006,45620,31640,13980
2007,48132,33809,14323
2008,48776,34765,14011
2009,49552,35369,14183
2010,48028,35043,12985
2011,48909,36378,12531
2012,50943,37895,13048
2013,52703,39084,13619
2014,53986,40708,13278
2015,54886,41247,13639
2016,54809,41306,13503
2017,54550,41364,13186
2018,55078,42144,12934
2019,55599,42897,12702
2020,55203,42564,12639
2021,52160,40819,11341
2022,57448,45402,12046
2023,57862,45533,12329
2024,58131,45929,12202
