Year,10-Year Rolling Average of US Affiliated Scientists Who Won A Nobel Prize in STEM,10-Year Rolling Average of US Born Scientists Who Won A Nobel Prize in STEM,10-Year Rolling Average of US Born Scientists Who Won A Turing Award,10-Year Rolling Average of US Affiliated Scientists Who Won A Turing Award,20-Year Rolling Average of US Affiliated Scientists Who Won A Fields Medal
2000,50,34,8,11,11
2001,50,34,7,10,11
2002,52,36,8,11,11
2003,52,35,7,10,10
2004,54,38,8,10,10
2005,52,37,8,9,10
2006,51,37,9,10,10
2007,49,33,10,11,8
2008,45,31,10,11,8
2009,49,34,10,11,8
2010,45,32,10,11,8
2011,43,31,11,12,7
2012,41,31,10,12,7
2013,41,30,10,12,7
2014,38,27,9,11,7
2015,37,24,11,13,6
2016,36,19,10,13,6
2017,41,24,10,13,6
2018,41,26,9,13,6
2019,40,25,10,14,4
2020,42,28,11,15,4
2021,42,25,11,15,4
2022,42,25,11,14,5
2023,42,25,10,14,4
2024,43,27,10,15,4
2025,46,29,8,13,4
