Country,Company,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis
China,Alibaba,2367.738462,4584.839426,42,210.5,652,2406,26811,307806,3.3773458,11.93768785
China,DeepSeek,1763.85461,4637.079076,0,255,681,1307.75,51823,497407,6.821827906,57.92167281
China,Moonshot,1672.14486,8294.167644,0,0,8.5,312.25,114120,715678,9.664402713,111.2551745
US,Anthropic,1773.608,3160.766835,0,10,276,2151,15538,221701,2.50314306,6.209124341
US,DeepMind,4109.788043,11872.43247,0,80.25,879.5,2862,123359,756201,6.814504088,58.93455347
US,OpenAI,2481.503356,13226.72632,3,3,100.5,962.5,244363,2218464,13.64833054,219.8569092
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Made with Flourish,,,,,,,,,
