Year,Doctorate recipients (number),% change from previous year
1900,250,estimate
1901,270,estimate
1902,293,confirmed
1903,300,estimate
1904,320,estimate
1905,340,estimate
1906,350,estimate
1907,370,estimate
1908,390,estimate
1909,400,estimate
1910,420,estimate
1911,450,estimate
1912,480,estimate
1913,510,estimate
1914,540,estimate
1915,580,estimate
1916,667,confirmed
1917,620,estimate
1918,560,estimate
1919,570,estimate
1920,620,estimate
1921,720,estimate
1922,850,estimate
1923,1050,confirmed
1924,1150,estimate
1925,1300,estimate
1926,1450,estimate
1927,1600,estimate
1928,1800,estimate
1929,2050,estimate
1930,2300,estimate
1931,2500,estimate
1932,2650,estimate
1933,2600,estimate
1934,2750,estimate
1935,2700,estimate
1936,2800,estimate
1937,2900,estimate
1938,3000,estimate
1939,3100,estimate
1940,3290,estimate
1941,3200,estimate
1942,2900,estimate
1943,2300,estimate
1944,2000,estimate
1945,1900,estimate
1946,2100,estimate
1947,3000,estimate
1948,4000,estimate
1949,5100,estimate
1950,6400,estimate
1951,7300,estimate
1952,7700,estimate
1953,8300,estimate
1954,8800,estimate
1955,8900,estimate
1956,8900,estimate
1957,8600,estimate
1958,8773,confirmed
1959,9213,confirmed
1960,9733,confirmed
1961,10413,confirmed
1962,11500,confirmed
1963,12728,confirmed
1964,14325,confirmed
1965,16340,confirmed
1966,17949,confirmed
1967,20403,confirmed
1968,22937,confirmed
1969,25743,confirmed
1970,29498,confirmed
1971,31867,confirmed
1972,33041,confirmed
1973,33755,confirmed
1974,33047,confirmed
1975,32952,confirmed
1976,32946,confirmed
1977,31716,confirmed
1978,30875,confirmed
1979,31238,confirmed
1980,31019,confirmed
1981,31355,confirmed
1982,31108,confirmed
1983,31280,confirmed
1984,31334,confirmed
1985,31295,confirmed
1986,31897,confirmed
1987,32365,confirmed
1988,33497,confirmed
1989,34325,confirmed
1990,36065,confirmed
1991,37530,confirmed
1992,38886,confirmed
1993,39800,confirmed
1994,41034,confirmed
1995,41747,confirmed
1996,42437,confirmed
1997,42539,confirmed
1998,42636,confirmed
1999,41101,confirmed
2000,41369,confirmed
2001,40744,confirmed
2002,40031,confirmed
2003,40762,confirmed
2004,42122,confirmed
2005,43385,confirmed
2006,45620,confirmed
2007,48132,confirmed
2008,48776,confirmed
2009,49552,confirmed
2010,48028,confirmed
2011,48909,confirmed
2012,50943,confirmed
2013,52703,confirmed
2014,53986,confirmed
2015,54886,confirmed
2016,54809,confirmed
2017,54550,confirmed
2018,55077,confirmed
2019,55598,confirmed
2020,55200,confirmed
2021,52159,confirmed
2022,57439,confirmed
2023,57806,confirmed
2024,58131,confirmed
