Year,Total,Share of Total US Enrollment
1949,25464,0.011
1950,26433,0.011
1951,29813,0.013
1952,30462,0.014
1953,33675,0.016
1954,33833,0.015
1955,34232,0.014
1956,36494,0.014
1957,40666,0.014
1958,43391,0.013
1959,47245,
1960,48486,0.013
1961,53107,
1962,58086,0.014
1963,64705,
1964,74814,0.016
1965,82045,0.016
1966,82709,0.014
1967,100262,0.016
1968,110315,0.016
1969,121362,0.016
1970,134959,0.017
1971,144708,0.017
1972,140126,0.016
1973,146097,0.016
1974,151066,0.016
1975,154580,0.015
1976,179344,0.016
1977,203068,0.018
1978,235509,0.021
1979,263938,0.023
1980,286343,0.025
1981,311882,0.026
1982,326299,0.026
1983,336985,0.027
1984,338894,0.027
1985,342113,0.028
1986,343777,0.028
1987,349609,0.028
1988,356187,0.028
1989,366354,0.028
1990,386851,0.029
1991,407529,0.029
1992,419585,0.029
1993,438618,0.03
1994,449749,0.031
1995,452635,0.032
1996,453787,0.032
1997,457984,0.032
1998,481280,0.033
1999,490933,0.034
2000,514723,0.035
2001,547867,0.036
2002,582996,0.037
2003,586323,0.035
2004,572509,0.034
2005,565039,0.033
2006,564766,0.032
2007,582984,0.033
2008,623805,0.034
2009,671616,0.035
2010,690923,0.034
2011,723277,0.035
2012,764495,0.037
2013,819644,0.039
2014,886052,0.042
2015,974926,0.048
2016,1043839,0.052
2017,1078822,0.053
2018,1094792,0.055
2019,1095299,0.055
2020,1075496,0.055
2021,914095,0.046
2022,948519,0.047
2023,1057188,0.056
2024,1126690,0.059
2025,1177766,0.061
