Year,China,China (projected),India,India (projected),United States,United States (projected),Germany,Germany (projected),United Kingdom,United Kingdom (projected),South Korea,South Korea (projected),Brazil,Brazil (projected)
2011,24,,11,,112,,164,,187,,111,,,
2012,24,,12,,115,,169,,189,,115,,,
2013,24,,12,,119,,184,,229,,119,,,
2014,25,,11,,123,,183,,220,,120,,5,
2015,25,,12,,122,,194,,235,,122,,5,
2016,25,,14,,121,,192,,239,,130,,5,
2017,27,,18,,121,,190,,247,,134,,5,
2018,28,,21,,123,,181,,260,,137,,6,
2019,29,,19,,122,,183,,260,,145,,6,
2020,30,,12,,123,,169,,257,,157,,5,
2021,,31,,18,,127,,187,,284,,158,,5
2022,,32,,19,,129,,188,,295,,165,,6
2023,,33,,20,,130,,188,,306,,172,,6
2024,,34,,21,,132,,190,,317,,179,,6
2025,,35,,22,,133,,193,,330,,187,,6
2026,,37,,23,,135,,196,,342,,195,,6
2027,,38,,25,,137,,198,,356,,204,,6
2028,,40,,26,,139,,200,,370,,212,,6
2029,,41,,27,,140,,203,,385,,222,,6
2030,,43,,29,,142,,205,,400,,232,,6
2031,,44,,30,,144,,208,,416,,242,,7
2032,,46,,32,,146,,210,,433,,253,,7
2033,,48,,34,,148,,213,,451,,265,,7
2034,,50,,35,,150,,215,,469,,277,,7
2035,,52,,37,,152,,218,,489,,290,,7
2036,,54,,39,,154,,221,,509,,303,,7
2037,,56,,42,,156,,223,,530,,318,,8
2038,,58,,44,,158,,226,,552,,333,,8
2039,,60,,46,,160,,229,,575,,349,,8
2040,,63,,49,,163,,232,,599,,366,,8
2041,,65,,52,,165,,234,,624,,384,,8
2042,,68,,55,,167,,237,,650,,403,,8
2043,,70,,58,,170,,240,,678,,423,,9
2044,,73,,61,,172,,243,,706,,444,,9
2045,,76,,64,,175,,246,,736,,466,,9
2046,,80,,68,,177,,249,,767,,490,,9
2047,,83,,72,,180,,252,,800,,515,,10
2048,,86,,76,,183,,255,,834,,541,,10
2049,,90,,81,,186,,258,,869,,569,,10
2050,,94,,85,,188,,261,,907,,599,,10
