Year,India,China,South Korea,Nepal,Taiwan,Nigeria,Vietnam,Canada,Saudi Arabia,Mexico,Brazil,Turkey/Türkiye,Colombia,Indonesia,Japan,United Kingdom,France,Germany
2010,72169.136,55518.18,18326.862,4639.229,8485.83,2692.88,3540.24,4784.65,5960.37,3725.65,1555.122,5107.564,2131.36,2110.672,3229.46,1417.76,1797.828,1842.764
2011,70752.495,65071.454,17457.538,4892.975,7619.126,3109.38,3915.544,4985.826,7560.432,3798.501,1500.867,4946.704,1956.168,2054.832,2767.7,1413.626,1514.326,1778.104
2012,69988.46,78969.803,18146.045,4675.806,7858.5,2993.928,3659.42,5069.169,9593.059,3792.789,1552.988,5220.228,1768.895,2103.645,2615.546,1331.97,1926.288,1803.971
2013,67631.046,92354.024,16032.329,4620.56,7412.913,3255.62,3976.206,5088.402,14483.95,3904.725,2282.28,4883.374,1733.895,1994.2,2093.776,1391.649,1866.825,1885.248
2014,75978.02,110324.478,17283.938,4648.35,7400.568,3493.161,4293.961,5830.624,19195.164,4226.794,2604.056,4901.913,1997.406,2352.24,2223.41,1630.56,2025.688,1889.76
2015,102057.984,124656.4,16755.73,5033.486,7200.599,4120.396,4568.168,5911.08,21819.98,4143.636,6629,4772.18,1971.475,2382.708,2230.488,1665.165,2054.605,1936.67
2016,128088.696,136018.458,16410.883,5835.848,7415.577,4707.234,5586.183,5718.276,23534.208,4450.978,6004.7,4511.602,2188.2,2591.919,2210.96,1658.657,1998.192,1897.115
2017,144170.658,148720.12,16894.944,6952.593,7982.436,5023.59,6394.83,6685.055,23306.673,4966.325,3481.674,4647.254,2330.744,2597.696,2460.18,1884.196,2027.22,1881.265
2018,153876.464,162050.086,16530.165,9129.76,8824.422,5800.701,8051.575,6166.342,20438.72,4872.42,3947.4,4712.96,2424.704,2863.15,2475.396,1982.58,2218.104,1948.148
2019,155146.752,171100.724,16772.25,9022.178,9417.707,6201.426,8464.024,6269.28,17168.04,4781.906,4303.812,4673.14,2401.88,2774.192,2552.805,1950.55,2266.16,2012.829
2020,145229.248,175462.572,17233.914,8223.58,9940.356,6729.618,8749.936,6498,13930.65,4720.492,4717.893,4579.323,2343.887,3386.4,2773.532,2108.176,2321.054,1977.788
2021,125518.918,154841.912,14690.652,7853.916,9226.637,6301.4,8782.186,6336.036,10374.309,4636.002,4382,4078.827,2238.705,2905.732,2486.635,1790.244,1850.904,1421.46
2022,145203.678,145333.086,15446.145,8141.31,10100.091,7219,8637.321,7077.406,8411.172,4901,4558.482,4233.5,2705.795,2969.113,2609.106,2120.152,2216.786,1881
2023,198196.251,144183.948,16924.942,9536.88,10917,8784.72,9395.1,7470.768,7690.709,5031.186,4999.8,4267.901,3083.544,3048.12,2841.558,2739.363,2326.144,2125.718
2024,241406.256,139808.592,17000.706,11016.236,11393.244,10234.819,9598.71,8177.436,7147.096,5307.582,5383.763,4601.444,3410.44,2938.496,2805.759,2408.79,2477.47,2178.28
2025,260284.623,138011.961,16832.614,15606.03,11422.133,11294.899,10770.864,8402.743,6236.682,5493.852,5476.809,4612.37,3564.337,3014.688,2928.568,2505.6,2452.836,2125.659
