Reason,Fall 2018,Fall 2021,Fall 2025
Visa application process,83,64,96
U.S. travel restrictions,,54,68
Feeling unwelcome in the United States,49,25,67
Social and political environment in the United States,60,27,64
Potential problems at the port of entry,23,18,61
Visa status while in the United States,,,58
Stay home and enroll in their own country's higher education institutions,38,61,54
Enroll in another country's institutions,59,28,53
Securing a job in the United States after their studies,44,16,47
Cost of tuition/fees at U.S. host institution,55,42,46
