Company,Year Founded,No of Founders,Pitchbook Valuation,Founder Makeup Binary,Year Founded.1,No of Founders.1,Pitchbook Valuation.1,Founder Makeup Binary.1
OpenAI,2015.0,11.0,500000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Anthropic,2021.0,8.0,183000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Databricks,2013.0,7.0,100000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
XAI,2023.0,12.0,75000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
UiPath,2005.0,2.0,29072610000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Perplexity AI,2022.0,4.0,20000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Unity Technologies,2004.0,3.0,20000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Surge AI,2020.0,1.0,15000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Mistral AI,2023.0,3.0,13663720000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Notion,2012.0,3.0,10000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Thinking Machine Labs,2025.0,6.0,10000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Anysphere,2022.0,4.0,9900000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
VAST Data,2016.0,4.0,9100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
TuSimple,2015.0,2.0,8487700000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Cerebras Systems,2015.0,5.0,8100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Gong,2015.0,2.0,7250000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Glean,2019.0,3.0,7200000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Cohere,2019.0,3.0,7000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
SentinelOne,2013.0,2.0,7000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
ElevenLabs,2022.0,2.0,6600000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
DataRobot,2012.0,2.0,6300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Nuro,2016.0,2.0,6000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
6sense,2013.0,2.0,5200000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Runway,2018.0,3.0,5000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
SambaNova,2017.0,3.0,5000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Skild AI,2023.0,2.0,4700000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Pony.ai,2016.0,2.0,4536510000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Hugging Face,2016.0,3.0,4500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Socure,2012.0,2.0,4500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Verkada,2016.0,4.0,4500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
AlphaSense,2011.0,2.0,4000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Aurora Solar,2013.0,2.0,4000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Inflection,2022.0,3.0,4000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Dataiku,2013.0,4.0,3700000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Duolingo,2011.0,2.0,3661000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
OpenEvidence,2021.0,1.0,3500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Komodo Health,2014.0,2.0,3300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Together AI,2022.0,5.0,3300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Uniphore,2008.0,2.0,3115000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Clay,2017.0,2.0,3000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Icertis,2009.0,2.0,2980000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Moveworks,2016.0,4.0,2850000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Clari,2012.0,2.0,2650000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Insitro,2018.0,1.0,2500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Kodiak Robotics,2018.0,2.0,2500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Baseten,2019.0,4.0,2150000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Synthesia,2017.0,4.0,2144190000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Eightfold AI,2016.0,2.0,2100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
DeepL,2017.0,1.0,2000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Feedzai,2011.0,3.0,2000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Generate Biomedicines,2018.0,2.0,2000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Writer,2020.0,2.0,1900000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Hyperscience,2014.0,3.0,1650000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Owkin,2016.0,2.0,1645000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
ASAPP,2014.0,1.0,1600000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Bright Machines,2018.0,2.0,1600000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Lemonade,2015.0,2.0,1591990000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Decagon,2023.0,2.0,1500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Mashgin,2014.0,2.0,1500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Sakana AI,2023.0,3.0,1500000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Upstart,2012.0,3.0,1449220000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Netradyne,2015.0,2.0,1440000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Anyscale,2019.0,3.0,1378000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Biofourmis,2015.0,2.0,1320000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Instabase,2015.0,1.0,1300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
MosaicML,2021.0,2.0,1300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
BigPanda,2012.0,2.0,1200000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
