Country,PISA_Math_Mean,PISA_Science_Mean
Singapore,575,561
Macao (China),552,543
Chinese Taipei,547,537
Hong Kong (China),540,520
Japan,536,547
Korea,527,528
Estonia,510,526
Switzerland,508,503
Canada,497,515
Netherlands,493,488
Ireland,492,504
United Kingdom,489,500
Poland,489,499
Denmark,489,494
Belgium,489,491
Australia,487,507
Czech Republic,487,498
Austria,487,491
Slovenia,485,500
Finland,484,511
Latvia,483,494
Sweden,482,494
New Zealand,479,504
Germany,475,492
Lithuania,475,484
France,474,487
Hungary,473,486
Spain,473,485
Portugal,472,484
Italy,471,477
Viet Nam,469,472
Norway,468,478
Malta,466,466
United States,465,499
Slovak Republic,464,462
Croatia,463,483
Iceland,459,447
Israel,458,465
Türkiye,453,476
Brunei Darussalam,442,446
Ukrainian regions (18 of 27),441,450
Serbia,440,447
United Arab Emirates,431,432
Greece,430,441
Romania,428,428
Kazakhstan,425,423
Mongolia,425,412
Cyprus,418,411
Bulgaria,417,421
Qatar,414,432
Moldova,414,417
Chile,412,444
Uruguay,409,435
Malaysia,409,416
Montenegro,406,403
Baku (Azerbaijan),397,380
Mexico,395,410
Thailand,394,409
Peru,391,408
Georgia,390,384
Saudi Arabia,389,390
North Macedonia,389,380
Costa Rica,385,411
Colombia,383,411
Brazil,379,403
Argentina,378,406
Jamaica,377,403
Albania,368,376
Indonesia,366,383
Palestinian Authority,366,369
Morocco,365,365
Uzbekistan,364,355
Jordan,361,375
Panama,357,388
Kosovo,355,357
Philippines,355,356
Guatemala,344,373
El Salvador,343,373
Dominican Republic,339,360
Paraguay,338,368
Cambodia,336,347
