,Below Level 1c,Level 1c,Level 1b,Level 1a,Level 2,Level 3,Level 4,Level 5,Level 6,"Sum Level 2, 3, 4, 5, 6"
Singapore,0,-0.3,-1.9,-5.9,11.2,17.6,22.6,22,18.6,92
Japan,0,-0.4,-2.7,-8.8,16,24,25.1,16.2,6.8,88
Estonia,0,-0.3,-3,-11.6,23.3,27.3,21.3,9.9,3.2,85
Korea,-0.3,-1.2,-4.5,-10.2,16.7,22,22.2,14.4,8.5,83.8
Ireland*,0,-0.5,-4.2,-14.2,25.9,29,18.8,6.2,1,81
Switzerland,0,-0.8,-5.4,-13.2,20.5,23.5,20.4,11.9,4.2,80.5
Denmark*,0,-0.6,-4.7,-15.1,26.3,28.1,17.5,6.5,1.3,79.6
Canada*,-0.1,-1,-5.7,-14.7,22.7,24.8,18.5,9.1,3.3,78.4
Latvia*,0,-0.6,-4.8,-16.7,28.4,27.2,15.8,5.2,1.2,77.8
Poland,-0.1,-1.1,-6.4,-15.4,23.8,25.6,18.2,7.5,1.9,77
United Kingdom*,-0.2,-1.7,-7.2,-15.3,23.1,24.2,17.1,8.2,3.1,75.7
Slovenia,-0.1,-1,-6.7,-16.9,25.7,24.2,16.1,7.5,1.9,75.4
Austria,-0.1,-1.5,-7.5,-15.7,22.5,24.2,18.1,8.1,2.2,75.1
Finland,-0.1,-1.2,-7.1,-16.4,23.7,25.5,17.4,7,1.5,75.1
Belgium,-0.1,-1.7,-7.8,-15.3,21.5,23.5,18.6,8.9,2.6,75
Czech Republic,-0.1,-1.2,-7.1,-17.1,23.2,23.4,17.3,8.1,2.5,74.5
Australia*,-0.2,-1.7,-7.9,-16.5,22.8,22.3,16.2,8.8,3.5,73.7
Sweden,-0.2,-1.9,-8.3,-16.8,22.6,23.5,16.7,7.8,2.1,72.8
Spain,-0.2,-1.7,-7.8,-17.6,26.2,25.4,15.2,5,0.9,72.7
Netherlands*,-0.2,-2.2,-9.8,-15.2,18.2,19.8,19.2,11.7,3.7,72.6
Lithuania,-0.1,-1.1,-7.5,-19.1,26.5,24,14.5,5.8,1.4,72.2
Viet Nam,-0.3,-1.9,-7.3,-18.6,28.1,24.7,13.6,4.5,0.9,71.8
New Zealand*,-0.2,-2.1,-9.3,-17.2,22.9,22.6,15.4,7.4,2.9,71.2
France,-0.2,-1.9,-8.9,-17.8,24.2,23.9,15.7,6.2,1.1,71.2
Hungary,-0.2,-2.4,-9.6,-17.3,23.8,23.8,15.1,6.3,1.6,70.5
Germany,-0.2,-2.2,-9.2,-18,23.6,23,15.3,6.7,1.9,70.5
Italy,-0.2,-1.6,-8.3,-19.5,26,23.2,14.2,5.7,1.2,70.4
Portugal,-0.2,-1.9,-8.3,-19.3,25,23,15.6,5.5,1.1,70.3
OECD average,-0.3,-2.3,-9.8,-18.7,23.3,22,14.9,6.7,2,68.9
Norway,-0.3,-2.4,-10.1,-18.7,23.8,23,14.9,5.5,1.4,68.5
Malta,-0.5,-3.6,-11.4,-17,22.3,22.7,15.2,5.7,1.5,67.4
Croatia,-0.2,-1.9,-9.3,-21.5,26.8,21.7,12.7,4.9,1,67.1
Slovak Republic,-0.9,-4.4,-10.9,-17.1,22,22.6,14.9,5.7,1.6,66.8
United States*,-0.2,-2.5,-10.4,-20.8,23.9,21.5,13.3,5.7,1.6,66.1
Iceland,-0.2,-2.4,-10.5,-21,26.2,22.4,12.4,4.2,0.7,65.9
Israel,-1.2,-5.2,-12.4,-18.4,21.1,19.7,13.6,6.2,2.2,62.7
Türkiye,-0.1,-2.3,-12.3,-23.9,25.3,19.2,11.3,4.6,0.9,61.3
Brunei Darussalam,-0.2,-2.8,-12.9,-26,27.3,18.6,9.2,2.8,0.3,58.1
Serbia,-0.7,-3.6,-13.8,-25,26.3,18.1,8.8,3,0.8,56.9
Greece,-0.5,-3.8,-16.2,-26.8,26,17.3,7.5,1.8,0.1,52.8
Romania,-1.5,-7,-17.1,-22.9,22.3,16.4,8.7,3.2,0.8,51.4
United Arab Emirates,-1,-6.6,-18,-23.3,21.1,15.3,9.2,4,1.3,51
Kazakhstan,-0.4,-3.4,-15.7,-30.1,27.5,15.6,5.7,1.4,0.2,50.4
Mongolia,-0.4,-4.2,-17,-29.5,25.1,15.1,6.4,1.9,0.3,48.9
Bulgaria,-1.6,-7.9,-20,-24.2,21.2,14.5,7.5,2.5,0.6,46.4
Chile,-0.5,-5.2,-19.3,-30.7,26,13.5,4.1,0.6,0,44.3
Moldova,-0.5,-5,-19.1,-31.1,24.8,13.3,4.9,1.1,0.1,44.2
Qatar,-0.6,-6.6,-21.2,-28,22.3,12.5,6,2.1,0.6,43.5
Uruguay,-1,-7.3,-20.4,-27.9,24.1,13.6,4.9,0.9,0.1,43.5
Malaysia,-0.2,-4.7,-21.6,-32.5,24.8,11.4,3.7,0.9,0.2,41
Montenegro,-0.7,-6.9,-22.6,-29.3,22.4,12.5,4.7,0.9,0.1,40.5
Mexico,-0.6,-5.8,-24.3,-35.1,23,9,2,0.2,0,34.2
Peru,-1.1,-9,-25.6,-30.5,20.8,9.7,2.8,0.5,0,33.8
North Macedonia,-1.7,-10.6,-26.2,-27.7,19.9,10.1,3.1,0.6,0.1,33.8
Georgia,-1.8,-10.3,-25.9,-28.4,19.6,9.4,3.4,1,0.2,33.6
Thailand,-0.5,-6.6,-27,-34.2,19.4,8.1,3.2,0.8,0.2,31.7
Saudi Arabia,-0.4,-6.1,-26.9,-36.6,21.7,6.7,1.3,0.2,0,30
Colombia,-1.1,-9.6,-28.4,-32.3,19.1,7.7,1.7,0.3,0,28.8
Costa Rica,-0.5,-7.6,-27.3,-36.5,20.9,6,1.1,0.2,0,28.2
Argentina,-1.4,-11.3,-29.4,-30.8,18.1,6.9,1.7,0.3,0,27.1
Brazil,-1.2,-11.2,-30.7,-30.3,16.7,7,2.4,0.5,0.1,26.6
Jamaica*,-0.9,-10.7,-30.9,-31.3,17.5,7.1,1.4,0.1,0,26.2
Albania,-4,-15.7,-28.8,-25.4,16.2,7.1,2.1,0.6,0.1,26.1
Uzbekistan,-1.7,-12.8,-34.4,-31.8,14.4,4.2,0.7,0,0,19.3
Morocco,-0.7,-11.7,-36.7,-32.5,14,3.9,0.6,0,0,18.4
Indonesia,-1,-10.9,-36,-33.8,14.1,3.8,0.5,0,0,18.3
Jordan,-1.2,-13,-35.4,-33.2,13.9,3,0.3,0,0,17.2
Panama*,-1.6,-15.4,-37.1,-29.7,12.1,3.3,0.7,0,0,16.1
Philippines,-1.1,-16.7,-38.6,-27.7,12.2,3.2,0.5,0.1,0,16
Paraguay,-8.3,-22.2,-30.7,-24.3,11,3,0.6,0,0,14.5
Guatemala,-5.1,-18.3,-35.2,-28.2,10.5,2.3,0.3,0,0,13.1
Cambodia,-7.6,-20.6,-33.7,-26.1,9.5,2.2,0.3,0,0,12
El Salvador,-1.9,-19,-42,-26.5,8.8,1.7,0.2,0,0,10.7
Dominican Republic,-1.5,-19.5,-45.1,-26.4,6.7,0.8,0.1,0,0,7.6
Macao (China),0,-0.2,-1.7,-6.5,14.4,23.2,25.4,18.4,10.2,91.6
Hong Kong (China)*,-0.1,-0.9,-3.8,-9.1,14.8,21,23.1,16.7,10.6,86.2
Chinese Taipei,-0.2,-0.9,-4.3,-9.2,13.5,18.7,21.5,18,13.7,85.4
Ukrainian regions (18 of 27),-0.4,-3.6,-14.2,-24.3,25.9,19.2,9.3,2.7,0.6,57.6
Baku (Azerbaijan),-1.8,-9.7,-22.9,-27.6,21.7,11.7,3.9,0.7,0.1,38.1
Palestinian Authority,-1.3,-12.4,-34.1,-32.1,15.2,4.1,0.7,0.1,0,20.1
Kosovo,-1.4,-15.1,-38.9,-29.6,11.7,2.9,0.3,0,0,15
