Year,China,India,Vietnam,Republic of Korea,Kazakhstan,Morocco,Uzbekistan,Brazil,Iran,Palestine,Austria,United Arab Emirates,Japan,Germany,Canada,Russia,France,Australia,Great Britain,United States of America
2000,,-59904.0,-8687.0,-66099,-12210.0,-35570.0,,,,-10710.0,16697.0,,,,5338.0,9550.0,87104.0,100060,201670,
2001,,-76464.0,-10061.0,-72474,-17731.0,-38471.0,,,,-11524.0,17787.0,,,,8408.0,31327.0,94683.0,115105,200779,
2002,,-95829.0,-11605.0,-78174,,,,-20462.0,,,14344.0,,,,11768.0,35112.0,110146.0,173520,198386,
2003,,-112309.0,-14184.0,-79628,-19212.0,-46691.0,,-21464.0,-17817.0,,16637.0,,,,19358.0,32182.0,164696.0,181660,225538,
2004,,-127872.0,,-78598,-18837.0,-37548.0,,-21164.0,-19053.0,-12659.0,20046.0,,,,24828.0,39868.0,191533.0,157831,276708,
2005,,-136196.0,-18167.0,-78533,-20010.0,-36021.0,,,-21346.0,,,,,,25637.0,53637.0,187746.0,167373,295790,532120.0
2006,-338174.0,-135340.0,,-77339,-16323.0,-36098.0,-29164.0,,-22701.0,,25739.0,,,,23918.0,38143.0,194013.0,174800,307229,
2007,-369689.0,,-25484.0,-74137,-17401.0,-32516.0,-31816.0,,-27311.0,-14821.0,29659.0,,,,47428.0,19201.0,191637.0,201022,326991,
2008,-396067.0,,-33065.0,-71095,-35881.0,-33487.0,-31144.0,,-31911.0,-15681.0,39635.25,,,,47718.0,92196.0,196220.0,220651,319716,
2009,-447534.0,,-39604.0,-68640,-25473.0,-33799.0,-28684.0,-15340.0,-38254.0,-17062.0,45575.0,,,,48568.0,82534.0,195660.0,247228,345114,
2010,-509443.0,,-44069.0,-58982,-27293.0,-34202.0,-23920.0,-19070.0,-41309.0,-16726.0,54127.0,,,,59394.0,,202511.0,260419,365317,
2011,-556624.0,-177631.0,-47702.0,-54741,-31883.0,,-22759.0,-22201.0,-46371.0,-17906.0,55523.0,40386.0,,,74014.0,114189.0,207917.0,251808,391140,
2012,-589034.0,-165770.0,-49450.0,-53329,-33462.0,,-18693.0,-23300.0,-47322.0,-20301.0,42438.0,45772.0,,,88219.0,122745.0,207049.0,238245,401059,
2013,-624037.0,-160801.0,-52442.0,-58263,-45443.0,-30304.0,-19771.0,,-42397.0,-22133.0,54942.25,,102344.0,76085.0,104594.0,,151740.0,237709,388210,708565.0
2014,-663395.0,-181577.0,-56994.0,-57567,-55985.0,-28057.0,-25399.0,-26084.0,-40185.0,-25321.0,48558.97266,,98761.0,92009.0,116812.0,157524.0,152880.0,253394,398617,764288.0
2015,-697323.0,-218244.0,-65235.0,-53199,-68163.0,-29392.0,-27280.0,-30520.0,-38084.0,-27107.0,50254.34766,,101384.0,111640.0,121829.0,169134.0,152599.0,281920,399485,826623.0
2016,-731403.0,-263223.0,-77127.0,-43430,-77571.0,-30327.0,-32094.0,-31939.0,-34855.0,-28913.0,52281.49609,,111766.0,126476.0,139070.0,186557.0,154384.0,322198,397692,887396.0
2017,-773635.0,-298480.0,-90570.0,-34487,-70900.0,-30906.0,-34340.0,-37575.0,-32944.0,-25815.0,54632.34375,,132550.0,135896.0,160570.0,193652.0,163495.0,367075,399376,898233.625
2018,-822040.0,-336589.0,,-16766,-73678.0,-32247.0,-41554.0,-48843.0,-37071.0,-28282.0,53624.93359,187669.0,150623.0,189194.0,176334.3125,204950.0,129924.0,430505,413014,901281.625
2019,-861788.0,-419173.0,-118410.0,-2531,-66510.0,-34370.0,,-59850.0,-38841.0,-28690.0,52399.97656,191590.0,170661.0,210564.0,230295.8594,230051.0,143236.0,495079,449750,874683.8125
2020,-887452.0,-477929.0,-130266.0,9667,-39050.0,-38120.0,,-66932.0,-45025.0,-29939.0,51756.89063,195317.0,189755.0,245263.0,272169.0,396349.0,143626.0,443683,510987,848909.1875
2021,-820741.0,-473917.0,-130681.0,29579,,-46082.0,-117927.0,-64798.0,,-31165.0,56586.38672,191498.0,186812.0,250285.0,264373.0,260192.0,147258.0,364996,561181,730553.0
2022,-845168.0,-583890.0,-126518.0,35970,,-50462.0,-135497.0,-63270.0,,-31660.0,58761.55078,207241.0,167970.0,277266.0,285210.0,276565.0,149985.6406,368510,633525,758691.0625
2023,-875123.0,-788135.0,,37931,,-49934.0,-115628.0,-64273.0,,-31786.0,59954.56641,217718.0,148279.0,294910.0,337060.0,271064.0,161211.2188,453691,707555,838773.125
