"Employed college graduates, by place of birth, level of highest degree, and major occupation: 2003–23",,,,,,,,
(Number),,,,,,,,
"Place of birth, level of highest degree, and occupation",2003,2010,2013,2015,2017,2019,2021,2023
All places of birth,,,,,,,,
All Degree Levels,32574000,40623000,43839000,45941000,48223000,50524000,51764000,56061000
S&E occupations,4588000,5374000,5766000,6407000,6769000,7466000,7894000,8711000
"Biological, agricultural, and other life scientists",421000,602000,638000,631000,610000,698000,794000,813000
Computer and mathematical scientists,1930000,2396000,2653000,3156000,3419000,3774000,4031000,4573000
Physical and related scientists,298000,327000,324000,331000,366000,409000,408000,430000
Social and related scientists,477000,518000,596000,570000,646000,663000,712000,631000
Engineers,1463000,1531000,1554000,1719000,1728000,1921000,1949000,2263000
S&E-related occupations,5155000,6966000,7508000,7867000,8271000,8893000,9522000,11253000
Non-S&E occupations,22831000,28282000,30566000,31667000,33183000,34165000,34349000,36097000
,,,,,,,,
Bachelor's,20365000,25354000,27802000,28509000,30131000,31373000,31688000,34311000
S&E occupations,2529000,2980000,3288000,3518000,3846000,4176000,4438000,5052000
"Biological, agricultural, and other life scientists",146000,233000,264000,241000,230000,277000,295000,314000
Computer and mathematical scientists,1243000,1564000,1785000,1978000,2219000,2403000,2574000,2989000
Physical and related scientists,119000,126000,128000,126000,164000,189000,177000,185000
Social and related scientists,101000,96000,124000,90000,172000,147000,170000,165000
Engineers,920000,960000,988000,1083000,1061000,1158000,1222000,1400000
S&E-related occupations,2779000,3784000,4065000,4222000,4338000,4794000,5031000,5852000
Non-S&E occupations,15057000,18589000,20449000,20769000,21946000,22403000,22219000,23407000
,,,,,,,,
Master's,8677000,11118000,11728000,12888000,13260000,14158000,14688000,15719000
S&E occupations,1406000,1644000,1689000,2076000,2069000,2286000,2411000,2593000
"Biological, agricultural, and other life scientists",94000,152000,158000,169000,149000,152000,188000,205000
Computer and mathematical scientists,581000,717000,744000,1048000,1039000,1168000,1251000,1353000
Physical and related scientists,82000,87000,83000,85000,98000,97000,105000,117000
Social and related scientists,205000,218000,249000,249000,235000,249000,283000,239000
Engineers,443000,472000,456000,525000,548000,619000,584000,679000
S&E-related occupations,1208000,1765000,1945000,2064000,2262000,2332000,2578000,3059000
Non-S&E occupations,6063000,7709000,8093000,8749000,8929000,9540000,9699000,10068000
,,,,,,,,
Doctorate,1271000,1500000,1551000,1641000,1796000,2090000,2141000,2488000
S&E occupations,605000,692000,724000,751000,786000,938000,962000,995000
"Biological, agricultural, and other life scientists",164000,199000,202000,207000,217000,254000,291000,271000
Computer and mathematical scientists,95000,108000,112000,117000,150000,189000,185000,211000
Physical and related scientists,94000,114000,112000,119000,101000,121000,125000,127000
Social and related scientists,154000,173000,190000,201000,201000,235000,221000,203000
Engineers,97000,97000,108000,107000,116000,139000,141000,184000
S&E-related occupations,123000,224000,236000,229000,267000,387000,374000,576000
Non-S&E occupations,543000,584000,590000,662000,743000,765000,805000,917000
,,,,,,,,
Professional,2261000,2651000,2758000,2903000,3036000,2903000,3246000,3543000
S&E occupations,49000,58000,64000,63000,67000,67000,82000,71000
"Biological, agricultural, and other life scientists",17000,17000,14000,14000,15000,14000,20000,24000
Computer and mathematical scientists,11000,7000,11000,13000,11000,14000,22000,21000
Physical and related scientists,2000,*,1000,*,2000,2000,1000,S
Social and related scientists,17000,31000,35000,30000,37000,32000,38000,25000
Engineers,2000,1000,2000,5000,2000,5000,S,S
S&E-related occupations,1045000,1193000,1262000,1353000,1404000,1380000,1538000,1766000
Non-S&E occupations,1167000,1399000,1433000,1487000,1565000,1456000,1626000,1705000
,,,,,,,,
,,,,,,,,
Foreign-born college graduates,,,,,,,,
All Degree Levels,4347000,5990000,6704000,7371000,8126000,8602000,9311000,10004000
S&E occupations,1032000,1467000,1528000,1923000,1998000,2192000,2261000,2446000
"Biological, agricultural, and other life scientists",105000,178000,184000,189000,199000,229000,246000,233000
Computer and mathematical scientists,490000,731000,804000,1078000,1135000,1263000,1325000,1447000
Physical and related scientists,65000,82000,85000,101000,108000,93000,99000,86000
Social and related scientists,61000,80000,97000,117000,102000,112000,129000,133000
Engineers,312000,395000,358000,438000,454000,495000,462000,547000
S&E-related occupations,842000,1302000,1467000,1356000,1630000,1802000,1930000,2327000
Non-S&E occupations,2472000,3221000,3709000,4092000,4499000,4609000,5120000,5230000
,,,,,,,,
Bachelor's,2418000,3294000,3807000,4072000,4464000,4672000,5036000,5317000
S&E occupations,408000,609000,621000,745000,829000,878000,887000,970000
"Biological, agricultural, and other life scientists",16000,36000,35000,37000,38000,47000,46000,47000
Computer and mathematical scientists,226000,363000,397000,476000,539000,591000,612000,661000
Physical and related scientists,17000,16000,19000,22000,45000,22000,20000,18000
Social and related scientists,10000,18000,15000,13000,22000,19000,22000,25000
Engineers,139000,175000,154000,197000,184000,199000,187000,220000
S&E-related occupations,422000,671000,764000,656000,768000,895000,981000,1120000
Non-S&E occupations,1588000,2014000,2422000,2672000,2867000,2899000,3168000,3226000
,,,,,,,,
Master's,1237000,1826000,1964000,2291000,2559000,2706000,2980000,3266000
S&E occupations,399000,562000,580000,842000,811000,873000,926000,1001000
"Biological, agricultural, and other life scientists",16000,43000,42000,46000,46000,46000,52000,50000
Computer and mathematical scientists,217000,310000,343000,533000,505000,553000,599000,665000
Physical and related scientists,16000,20000,21000,24000,23000,20000,27000,23000
Social and related scientists,24000,28000,33000,58000,32000,40000,53000,42000
Engineers,126000,162000,141000,182000,203000,214000,194000,220000
S&E-related occupations,157000,273000,340000,336000,443000,453000,497000,663000
Non-S&E occupations,681000,991000,1044000,1113000,1306000,1380000,1557000,1601000
