Year,Asia,"Africa, Sub-Saharan",Europe,Latin America and Caribbean ,North America,Oceania,Middle East and North Africa,Stateless,Percent Asia
2000,280149,26124,90661,62681,23544,4677,26897,7,0.5442534094882854
2001,302058,29399,93784,64243,25279,4624,28476,10,0.5513285013132605
2002,324812,32509,95697,68883,26514,4852,29642,87,0.5571427591269923
2003,332298,35406,91436,69664,26513,4811,26155,33,0.566755810859673
2004,324006,33942,87094,70291,27017,4534,23100,19,0.568428587217962
2005,325112,32492,85409,66581,28140,4481,21056,37,0.5771478480689073
2006,327785,32847,84697,65266,28202,4702,21267,0,0.5803908167276358
2007,344495,32423,82731,65055,28280,4300,25700,0,0.5909167318485584
2008,380465,32020,83981,64894,29051,5005,28389,0,0.6099101482033649
2009,415000,32708,87318,68141,29697,5053,33369,0,0.6182163787119052
2010,435667,32121,85084,66061,28145,5107,38738,0,0.6305579637673083
2011,461818,31470,84296,64564,27546,5610,47963,10,0.6385077916206378
2012,489970,30046,85423,64410,26821,5697,62120,8,0.6409067423593352
2013,525849,30585,85823,66864,27357,6104,77049,13,0.6415577982636365
2014,568510,31113,86885,72318,28304,6292,92618,12,0.6416214849692795
2015,627306,33593,90625,86378,27240,6471,103307,6,0.6434396046469167
2016,689525,35364,91915,84908,26973,6917,108227,10,0.6605664283476667
2017,734309,37735,92820,79655,27065,7222,100014,2,0.6806581623289106
2018,758076,39479,92655,79920,25909,7372,91375,6,0.6924383809892656
2019,768260,40290,90996,80962,26122,7542,81126,1,0.7014157777921828
2020,758014,41697,89784,80204,25992,7473,72325,7,0.7048041089878531
2021,645622,39061,67979,72850,25143,5864,57564,12,0.7062963915129171
2022,658669,42518,83240,77969,27013,5994,53104,12,0.694418351134769
2023,748165,50199,89906,81945,27876,6782,52295,20,0.7076934282265784
2024,805238,56780,90600,85891,28998,6878,52292,13,0.7146934826793528
2025,842885,65385,93361,87932,29903,7270,51018,12,0.7156642321140193
