Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2009,-,-,0.24,0.233,0.388,0.166,0.236,0.202,0.126,0.232,-,0.166,0.175,0.138,0.134,0.188,-,-,0.083,0.108,0.094,0.071,0.083,0.044,0.051,0.106,-,0.284,0.062,0.188,0.159
2010,-,-,0.218,0.229,0.369,0.147,0.247,0.192,0.108,0.247,-,0.147,0.163,0.169,0.094,0.18,-,-,0.079,0.107,0.067,0.077,0.076,0.044,0.047,0.1,-,0.291,0.054,0.176,0.157
2011,0.584,-,0.184,0.251,0.367,0.17,0.227,0.196,0.122,0.247,-,0.17,0.15,0.178,0.137,0.19,-,-,0.079,0.096,0.072,0.077,0.076,0.046,0.049,-,-,0.27,0.069,0.18,0.155
2012,0.552,-,0.211,0.251,0.356,0.166,0.241,0.192,0.108,-,0.131,0.17,0.135,0.203,0.116,0.156,-,-,0.112,0.099,0.065,0.075,0.079,0.037,0.045,-,-,0.284,0.068,0.173,0.148
2013,0.56,-,0.233,0.265,0.38,0.171,0.239,0.198,0.127,-,0.164,0.173,0.14,0.2,0.139,0.168,-,-,0.105,0.102,0.074,0.082,0.078,0.043,0.053,-,0.394,0.285,-,0.167,0.157
2014,0.548,-,0.239,0.253,0.375,0.16,0.225,0.197,0.13,-,0.16,0.145,0.144,0.201,0.138,0.167,-,-,0.165,0.089,0.083,0.083,0.08,0.041,0.05,-,0.449,0.291,-,0.161,0.177
2015,0.544,-,0.257,0.24,0.36,0.159,0.221,0.186,0.126,-,0.161,0.141,0.143,0.163,0.126,0.171,-,-,0.19,0.096,0.076,0.081,0.073,0.044,0.042,-,0.504,0.289,-,0.146,0.158
2016,0.532,-,0.3,0.258,0.362,0.173,0.223,0.187,0.135,-,0.17,0.161,0.145,0.161,0.123,0.16,-,-,0.126,0.1,0.083,0.089,0.077,0.049,0.051,-,0.579,0.279,-,0.141,0.167
2017,0.527,0.409,0.314,0.257,0.354,0.181,0.233,0.19,0.139,-,0.185,0.173,0.155,0.163,0.139,0.178,-,-,0.129,0.112,0.134,0.093,0.082,0.053,0.052,-,0.635,0.267,-,-,0.168
2018,0.521,0.404,0.302,0.261,0.342,0.174,0.215,0.18,0.135,0.246,0.146,0.162,0.142,0.19,0.139,0.167,-,-,0.126,0.109,-,0.089,0.094,0.048,0.047,-,0.638,0.258,-,-,0.182
2019,0.512,0.411,0.295,0.276,0.342,0.181,0.216,0.175,0.145,0.243,0.158,0.169,0.147,0.188,0.142,0.151,-,-,0.131,0.115,-,0.09,0.088,0.062,0.056,-,0.598,0.257,-,-,0.184
2020,0.498,0.425,0.3,0.28,0.335,0.198,0.22,0.175,0.148,0.228,0.175,0.182,0.149,0.19,0.153,0.191,-,-,0.144,0.124,-,0.087,0.092,0.073,0.057,-,0.615,0.255,-,-,0.179
2021,0.482,0.388,0.279,0.272,0.296,0.21,0.195,0.172,0.158,0.218,0.144,0.17,0.166,0.186,0.141,0.168,-,-,0.135,0.117,0.084,0.085,0.082,0.055,0.053,-,0.495,0,-,-,0.174
2022,0.472,0.356,0.289,0.259,0.269,0.212,0.186,0.168,0.166,0.219,0.18,0.161,0.169,0.162,0.141,0.157,-,0.129,0.135,0.118,0.084,0.084,0.094,0.054,0.085,-,0.445,-,-,-,-
2023,0.458,0.334,0.288,0.252,0.245,0.208,0.184,0.171,0.17,0.209,0.177,0.156,0.158,0.179,0.16,0.142,0.137,0.133,0.131,0.118,0.085,0.088,0.089,0.063,0.063,-,-,-,-,-,-
2024,0.444,0.337,0.304,0.245,0.228,0.209,0.179,0.178,0.166,0.197,0.181,0.162,0.16,0.16,0.153,0.146,0.143,0.129,0.128,0.116,0.091,0.089,0.085,0.074,0.064,-,-,-,-,-,-
