Year,India,Nepal,China,Bangladesh,Vietnam,Pakistan,Taiwan,Turkey/Türkiye,South Korea,Nigeria,Ghana,Hong Kong,Indonesia,Iran,Saudi Arabia,Italy,Spain,Canada,Brazil,United Kingdom,Japan,Mexico,Colombia,France,Germany,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2009,0.198,0.117,0.107,-,0.094,0.107,0.058,0.1,0.052,0.056,-,0.049,0.063,-,0.096,-,-,0.025,0.033,0.028,0.029,0.045,0.037,0.033,0.035,0.049,-,0.06,0.067,0.083,0.031
2010,0.198,0.121,0.106,-,0.085,0.097,0.06,0.096,0.05,0.069,-,0.056,0.055,-,0.081,-,-,0.024,0.03,0.031,0.029,0.048,0.04,0.029,0.036,0.046,-,0.076,0.054,0.08,0.036
2011,0.217,0.116,0.112,-,0.071,0.09,0.062,0.097,0.051,0.074,-,0.058,0.048,0.095,0.067,-,-,0.027,0.032,0.025,0.028,0.039,0.034,0.039,0.038,-,-,0.081,0.068,0.075,0.029
2012,0.231,0.119,0.112,-,0.075,-,0.067,0.096,0.049,0.074,-,0.057,0.051,0.096,0.074,-,0.037,0.026,0.038,0.029,0.022,0.04,0.033,0.057,0.031,-,-,0.08,0.074,0.07,0.034
2013,0.26,0.139,0.115,-,0.081,-,0.068,0.099,0.053,0.075,-,0.066,0.054,0.103,0.081,-,0.039,0.032,0.029,0.033,0.024,0.039,0.035,0.042,0.033,-,0.015,0.065,-,0.079,0.041
2014,0.314,0.183,0.124,-,0.083,-,0.067,0.103,0.056,0.087,-,0.062,0.052,0.105,0.081,-,0.033,0.032,0.029,0.03,0.027,0.033,0.036,0.038,0.035,-,0.011,0.051,-,0.066,0.04
2015,0.349,0.218,0.141,-,0.088,-,0.081,0.097,0.067,0.089,-,0.069,0.056,0.117,0.082,-,0.041,0.034,0.042,0.031,0.026,0.045,0.044,0.046,0.038,-,0.014,0.068,-,0.077,0.039
2016,0.354,0.245,0.155,-,0.11,-,0.094,0.097,0.082,0.092,-,0.088,0.071,0.118,0.091,-,0.045,0.058,0.049,0.039,0.032,0.051,0.054,0.053,0.039,-,0.012,0.077,-,0.087,0.046
2017,0.375,0.355,0.172,0.168,0.131,-,0.113,0.11,0.091,0.104,-,0.124,0.085,0.128,0.092,-,0.054,0.047,0.054,0.041,0.035,0.052,0.054,0.058,0.045,-,0.01,0.094,-,-,0.05
2018,0.37,0.285,0.199,0.177,0.142,0.167,0.134,0.12,0.108,0.113,-,-,0.1,0.135,0.096,-,0.047,0.053,0.054,0.047,0.047,0.056,0.056,0.064,0.051,-,0.014,0.107,-,-,0.053
2019,0.347,0.256,0.212,0.191,0.156,0.175,0.144,0.125,0.123,0.127,-,-,0.189,0.145,0.095,-,0.059,0.066,0.063,0.055,0.052,0.061,0.051,0.076,0.052,-,0.016,0.127,-,-,0.054
2020,0.348,0.294,0.222,0.187,0.178,0.19,0.166,0.134,0.135,0.124,-,-,0.125,0.141,0.102,-,0.092,0.069,0.071,0.065,0.076,0.069,0.064,0.105,0.067,-,0.016,0.142,-,-,0.066
2021,0.368,0.303,0.231,0.203,0.193,0.202,0.175,0.138,0.132,0.146,-,0.136,0.122,0.14,0.113,-,0.068,0.079,0.072,0.063,0.076,0.065,0.066,0.078,0.057,-,0.018,0,-,-,0.081
2022,0.412,0.294,0.232,0.21,0.215,0.196,0.184,0.142,0.138,0.147,-,0.136,0.128,0.135,0.123,0.079,0.074,0.083,0.075,0.082,0.071,0.071,0.066,0.073,0.052,-,0.034,-,-,-,-
2023,0.429,0.299,0.233,0.206,0.224,0.216,0.184,0.157,0.139,0.149,0.15,0.15,0.133,0.128,0.122,0.087,0.077,0.086,0.081,0.075,0.078,0.073,0.068,0.076,0.066,-,-,-,-,-,-
2024,0.434,0.303,0.236,0.221,0.218,0.211,0.189,0.156,0.146,0.155,0.155,0.148,0.142,0.12,0.11,0.091,0.09,0.088,0.08,0.076,0.075,0.075,0.073,0.073,0.067,-,-,-,-,-,-
