Year,Nigeria,Nepal,Bangladesh,Iran,Colombia,Mexico,Pakistan,Brazil,China,Canada,Hong Kong,Taiwan,Italy,Ghana,Turkey/Türkiye,Vietnam,South Korea,United Kingdom,Indonesia,Spain,Germany,Saudi Arabia,Japan,France,India,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2009,0.118,0.158,-,-,0.096,0.066,0.061,0.061,0.126,0.074,0.074,0.094,-,-,0.079,0.068,0.076,0.081,0.053,-,0.075,0.041,0.057,0.066,0.102,0.116,-,0.105,0.12,0.071,0.064
2010,0.119,0.185,-,-,0.1,0.082,0.073,0.062,0.115,0.08,0.075,0.1,-,-,0.081,0.071,0.08,0.08,0.061,-,0.076,0.034,0.057,0.064,0.114,0.133,-,0.112,0.118,0.074,0.056
2011,0.125,0.192,-,0.091,0.097,0.064,0.078,0.061,0.099,0.085,0.07,0.106,-,-,0.088,0.068,0.078,0.071,0.057,-,0.079,0.03,0.057,0.058,0.114,-,-,0.134,0.121,0.083,0.048
2012,0.13,0.196,-,0.105,0.097,0.065,-,0.06,0.088,0.085,0.06,0.106,-,-,0.086,0.073,0.07,0.073,0.053,0.048,0.082,0.04,0.048,0.052,0.112,-,-,0.118,0.115,0.09,0.048
2013,0.127,0.231,-,0.111,0.107,0.074,-,0.062,0.089,0.092,0.062,0.109,-,-,0.089,0.076,0.074,0.074,0.075,0.048,0.075,0.042,0.048,0.063,0.1,-,0.018,0.122,-,0.102,0.048
2014,0.122,0.233,-,0.121,0.095,0.065,-,0.086,0.089,0.102,0.072,0.116,-,-,0.089,0.072,0.077,0.075,0.072,0.052,0.075,0.044,0.049,0.059,0.079,-,0.03,0.106,-,0.107,0.05
2015,0.131,0.223,-,0.116,0.093,0.08,-,0.078,0.087,0.097,0.068,0.111,-,-,0.085,0.077,0.076,0.07,0.07,0.053,0.076,0.045,0.046,0.056,0.063,-,0.026,0.109,-,0.101,0.052
2016,0.114,0.193,-,0.117,0.093,0.083,-,0.091,0.082,0.1,0.067,0.104,-,-,0.084,0.075,0.071,0.074,0.065,0.053,0.069,0.052,0.05,0.054,0.058,-,0.036,0.105,-,0.092,0.044
2017,0.12,0.17,0.138,0.118,0.095,0.09,-,0.087,0.084,0.098,0.064,0.099,-,-,0.081,0.088,0.073,0.08,0.068,0.065,0.067,0.054,0.044,0.055,0.055,-,0.037,0.126,-,-,0.044
2018,0.134,0.207,0.153,0.124,0.1,0.096,0.08,0.088,0.084,0.098,-,0.095,-,-,0.079,0.096,0.078,0.081,0.065,0.068,0.074,0.065,0.046,0.057,0.056,-,0.037,0.125,-,-,0.048
2019,0.146,0.202,0.152,0.122,0.103,0.099,0.092,0.089,0.084,0.094,-,0.094,-,-,0.082,0.097,0.078,0.085,0.068,0.069,0.074,0.06,0.044,0.056,0.063,-,0.041,0.123,-,-,0.05
2020,0.146,0.219,0.153,0.131,0.102,0.106,0.091,0.098,0.091,0.096,-,0.105,-,-,0.089,0.104,0.089,0.101,0.072,0.081,0.106,0.071,0.062,0.07,0.066,-,0.052,0.121,-,-,0.058
2021,0.159,0.201,0.167,0.136,0.103,0.103,0.093,0.099,0.098,0.098,0.087,0.108,-,-,0.09,0.107,0.089,0.09,0.081,0.081,0.081,0.07,0.063,0.067,0.065,-,0.066,0,-,-,0.066
2022,0.165,0.176,0.156,0.129,0.104,0.114,0.104,0.102,0.098,0.101,0.084,0.104,0.09,-,0.092,0.096,0.082,0.09,0.075,0.075,0.072,0.069,0.052,0.058,0.056,-,0.063,-,-,-,-
2023,0.178,0.18,0.148,0.14,0.111,0.114,0.107,0.107,0.1,0.108,0.093,0.1,0.091,0.167,0.094,0.093,0.085,0.092,0.077,0.081,0.081,0.072,0.06,0.054,0.054,-,-,-,-,-,-
2024,0.183,0.164,0.154,0.144,0.116,0.114,0.11,0.109,0.105,0.104,0.102,0.093,0.091,0.162,0.089,0.087,0.086,0.085,0.084,0.082,0.081,0.077,0.063,0.056,0.055,-,-,-,-,-,-
