Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,22.1,18.6,15.3,25.5,19,24.3,17,24.5,-,21.6,20.8,26.2,29.3,36.7,-,-,28.3,39.7,31.9,15,24.7,20.9,19.6,17.2,-,21.5,27.5,26.6,28.7
2011,-,-,18.4,17.3,15.2,23.4,18.6,27.5,17,21.5,-,21.7,20.1,23.5,30.7,30.2,-,-,26.1,41.3,31.2,15.3,26.7,19.8,19.9,17.1,-,19.8,28,24.2,26.6
2012,4.1,-,15.9,15.2,14.1,21.3,16.3,28.7,16.8,19.8,-,22.2,18.6,20.9,25.6,29,-,-,26.3,39,28.5,15.4,24.2,19.2,17.8,-,-,18.5,29.4,21.1,25.6
2013,4.7,-,17.1,15.1,13.7,20.9,15.5,29,16.4,-,22.1,21.5,19,19,24.9,29.6,-,-,23.8,38.1,27.4,15.8,26,17.4,17.7,-,-,18.2,28.2,21.4,29.3
2014,4.6,-,16.7,15.3,11.7,21,14.2,28,17,-,24.2,21.3,20.4,15.9,26.1,29.5,-,-,21.1,37.5,24.8,14.7,29.4,18.8,17.3,-,13.6,19.3,-,21.9,28.1
2015,4.6,-,16.5,13.6,10.7,21.2,14.1,26.5,16.7,-,23.4,17,20.2,14.3,26.1,28.8,-,-,12.1,32.6,22.4,15,26.3,19.1,17.8,-,12.8,21.5,-,21.3,25.9
2016,4.6,-,17.2,13.9,10.3,19.8,15.3,24.3,16.8,-,22.8,18.8,20,16.1,24.8,31.1,-,-,16.1,29.8,21.9,16.2,25.8,19.1,17.8,-,13.2,19.7,-,23.9,28.6
2017,5,-,18.7,14,10.4,20.9,15,23.1,15.4,-,25.5,19.4,21.5,15,27.2,30.3,-,-,26.9,30.9,20.1,16.2,25.8,18.2,18.7,-,12.2,20.7,-,23.5,28.3
2018,4.9,9.5,19,13.5,9.8,19.2,13.7,20.7,15.1,-,22.5,19.7,19.4,11.8,23.2,28,-,-,24.4,27,16.8,16.5,27.3,17.2,17.6,-,9.7,17.7,-,-,24.4
2019,4.6,7.8,18.8,14.1,10.3,19.1,13.4,18.9,14,17.6,24.4,18.6,19.3,11.3,22.6,27.4,-,-,23.3,28.5,-,16.3,26.1,17.9,18.1,-,12.3,17.3,-,-,25.3
2020,4.4,6.9,15.5,11.5,10.9,18,12.8,17.2,13,15.7,23.3,18.2,17.6,15.5,23.5,23.4,-,-,22.7,28.8,-,15.6,24.6,17,16.7,-,12.6,16.8,-,-,25.1
2021,4.5,6.2,15.3,11.5,11.7,17,12.2,16.6,12.5,16.2,25.2,19.2,18.1,9.7,23.8,24,-,-,23,26.9,-,15.9,27.3,24.1,18,-,13.8,15.6,-,-,24.2
2022,4.9,6.1,13.7,10.8,13.3,17.1,11.4,14.6,11.8,15.1,23.3,19.4,17.8,9.1,22.7,24.9,-,-,22,25.6,14.4,16.4,25.9,24.5,16.6,-,12.7,-,-,-,23.1
2023,4.7,8,13,10.7,11.6,16.6,11.9,13.4,12,14.7,22.7,19.5,17.7,9.8,23.7,25.4,-,22.1,21.1,24.7,15.3,16.6,22,22,18.3,-,15.8,-,-,-,-
2024,4.8,8.8,14,10.9,11.2,17.5,11.2,12.7,11.8,14.7,24.5,20.7,18,9.9,22.6,23.5,11.7,22.7,20.8,24.2,14.6,17.3,24.5,18.3,17.7,-,-,-,-,-,-
2025,5.1,8,14.5,11.8,11.3,16.9,11.9,11.2,11.9,14.9,24.5,21.1,18.5,11.9,22.9,21.4,12.1,22.2,20.8,23.4,13.7,18.3,23.8,18.6,19.2,-,-,-,-,-,-
