Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,1.2,3.6,1.4,7.7,1.8,2.8,10.8,2.5,-,7,5.9,1.4,3.7,5.8,-,-,7.3,2.6,6.1,6.4,4.5,8.8,6.9,2.3,-,3.1,5.4,3.7,5
2011,-,-,1.1,4,1.3,11.5,1.9,3.4,12.2,2.1,-,7.5,6,1.2,4.9,8.1,-,-,7.9,2.6,8.4,7.8,4.4,8.6,6.4,1.7,-,3.4,7.6,6.6,5.5
2012,4.5,-,1.4,3.9,1.3,11.6,1.7,3.8,11.1,2.4,-,6.8,6.4,1.5,4.2,8.9,-,-,8,2.9,7,7.2,4,7.2,6.6,-,-,3.5,6.4,6.7,7.7
2013,5.4,-,2.1,5.7,1.7,12.9,2.3,4.9,13.4,-,9.3,8.9,8.9,1.5,6.6,9.5,-,-,8.9,3.5,10.3,8.8,4.2,8.1,8.6,-,-,4.3,9.4,10.1,8.4
2014,5.2,-,1.9,5.8,1.4,12.5,2.1,5.3,12.8,-,6.9,8.4,8.1,1.1,5.2,8.9,-,-,7.3,3,10.2,8.5,4.1,7.7,7,-,2.6,4.6,-,8.8,6.6
2015,5,-,1.9,6.1,1.4,12.6,2.1,5.6,11.9,-,6.1,6.1,7.9,1.3,5.8,9,-,-,6.4,3,10.2,7.8,3.6,6,6.4,-,1.8,4.3,-,9.5,7.1
2016,5.1,-,2.3,6.8,1.6,13.1,2.6,6.5,12.9,-,6.5,9.5,10.2,1.2,6.7,9.2,-,-,8.5,3.9,11.3,9.4,4.3,7.3,8.4,-,1.7,4.8,-,9.4,8.9
2017,4.6,-,2.1,6.7,1.6,11,2.3,6,12.1,-,5.7,7.6,9,1.1,5.6,7,-,-,7.7,3.1,11,8.8,3.9,6.6,7.4,-,1.5,4.4,-,8.9,8
2018,4.9,2.2,2.6,6.7,2,11,3,6.6,12,-,5.8,9,12.3,1.3,7.1,7.5,-,-,8.9,3.4,11.4,9,4.4,8.1,8.6,-,1.5,4.8,-,-,8.3
2019,4.4,1.8,2.2,7.4,1.9,10.2,2.7,6.5,12.6,2.2,5.3,8.6,10.6,1.9,6.2,6.6,-,-,7.8,5.3,-,9.2,4.1,7.3,7.6,-,1.5,5,-,-,8.6
2020,4.4,1.8,2.3,6.8,2,10.1,2.5,6.7,11.8,2.4,5.8,8.9,9.4,1.6,5.5,6.6,-,-,7.8,4.9,-,9.1,4,7.3,7.3,-,1.7,5.2,-,-,8.3
2021,5.2,1.4,2.5,5.1,1.7,8.1,2.2,6,10.5,2.3,6,8.3,9,1.2,6.3,6.1,-,-,7.3,4.4,-,7,4.6,8.8,7.3,-,2.3,4.5,-,-,7.7
2022,5.4,1.2,2.7,5.8,1.9,7.7,2.2,6,10.5,2,5.3,8.9,8.2,1.3,5.4,5.4,-,-,6.8,4,12.2,7,3.7,7,7,-,2.5,-,-,-,7.8
2023,5.8,1.5,2.6,5.8,1.6,7.2,1.9,5.8,10.1,2,4.8,7.7,7.2,1.4,5.1,5,-,5,6.9,4.1,10.9,7.4,3.4,5.6,5.8,-,3.1,-,-,-,-
2024,6.1,1.4,3.2,5.7,1.3,6.9,2,6.1,10,1.9,4.1,8,7,1.3,4.3,5.3,2.3,5.1,6.3,4,11.4,7.2,3.8,6.2,6.4,-,-,-,-,-,-
2025,6.4,1.3,2.6,5.6,1.1,8.2,2,5.7,9.4,1.8,3.8,7.8,7,1.1,4,4.6,2.2,5.2,6.3,3.4,10.6,7.2,3.8,5.8,6,-,-,-,-,-,-
