Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,4.2,1.1,4.9,4,14.2,2.1,5.1,5.1,-,3.4,3.3,9.2,2.2,3.5,-,-,4.7,5.5,2.3,16.4,3.3,3.2,4.3,21.8,-,3.9,3.7,4.4,3.9
2011,-,-,5.3,1.2,4.9,3.7,13.9,2,5.4,5,-,2.9,3,8.1,1.9,4,-,-,5.5,5.2,2.5,16.1,3,3.9,4.5,19.6,-,3.9,3.4,4.5,3.5
2012,2.2,-,4.7,0.7,4.8,3.8,14.3,1.5,4.9,4,-,3.7,3,8.7,1.4,2.9,-,-,4.1,4.5,3.6,15.8,2,3.1,3.4,-,-,3.1,3.1,5.4,3.2
2013,2.3,-,5.6,0.7,4.7,3.6,12.5,1.3,5,-,2.1,2.9,2.3,9.4,1.5,2.3,-,-,3.1,4.3,3.4,15,2.3,2.8,4,-,-,2.9,2.5,4.1,2.7
2014,2.3,-,5.8,0.8,4.7,4.4,12.7,1.4,4.3,-,2.6,3,2.6,8.5,1.1,2.1,-,-,2.4,4.3,2.4,15,1.7,2.9,3.5,-,2.3,2.5,-,4.1,3.3
2015,1.8,-,6.1,1,3.6,4.1,12.9,1.4,4.7,-,2.9,2.9,2.2,6.8,1.5,3.1,-,-,2.2,4,2.4,15.7,1.9,2.3,4,-,1.8,3.4,-,4,3.7
2016,2,-,6.3,1.3,2.9,3.7,12.6,1.3,4.3,-,2,3.4,2.8,6.4,1.3,1.9,-,-,2.4,3.8,2.3,14.9,1.6,2.1,3.2,-,1.7,2.3,-,3.9,3.6
2017,2.2,-,6.6,1.1,2.7,3.4,12.4,1.3,4.3,-,2.2,3.3,2.4,5.2,1.4,1.9,-,-,3,4.4,2.4,14.4,1.6,2.4,3.1,-,1.5,2.2,-,4.3,3.4
2018,2.2,3.2,8.2,1.2,2.7,3.5,13,1.4,4.8,-,1.7,3.7,2.9,4.5,1.2,1.9,-,-,2.9,4.6,2.3,14.7,1.8,2.6,3.1,-,1.6,2.4,-,-,3.5
2019,2.4,3.4,8.1,1.2,3.2,3.8,13.7,1.4,5,2.9,2.1,3.6,2.3,5.4,1.3,1.5,-,-,2.8,4.6,-,14,1.7,2.7,3.3,-,1.6,2.4,-,-,3.4
2020,2.2,2.8,8.8,1.1,3.1,3.7,13.3,1.4,5.3,3.3,1.9,3.6,2.3,5.3,1.2,1.8,-,-,3,5,-,15.6,1.9,2.6,2.9,-,2.1,2.4,-,-,3
2021,2.2,2.9,10.6,1.4,2.6,3.8,13.5,1.6,5.8,3.7,2.3,3.6,3.4,6.2,1.6,1.8,-,-,3.2,5.4,-,14.9,2.4,3.7,3.8,-,3.1,2.8,-,-,5.2
2022,2.5,2.8,10,1.4,2.6,3.4,12.4,1.5,5.5,4,1.8,3.7,2.7,5.9,1.7,2.2,-,-,2.9,5.4,3.1,13.5,1.7,3.1,3.4,-,3.8,-,-,-,4
2023,2.5,2.9,9.4,1.3,2.5,3.2,11.2,1.5,4.9,3.5,1.7,3.5,2.5,6.6,1.3,2.4,-,2,2.9,4.7,3,12.3,1.6,2.4,3.1,-,3.2,-,-,-,-
2024,3,2.6,8.9,1.2,2.7,3.3,11.1,1.5,4.8,3,1.8,3.4,2.6,6.6,1.5,2.2,7.3,2.1,2.9,5,2.5,11.5,1.6,2.1,3.2,-,-,-,-,-,-
2025,3.2,2.8,8.7,1.3,2.6,3,10.2,1.5,4.7,3.3,2.1,3.7,2.6,9.8,1.2,2.2,7.7,2.1,3.3,5.4,2.9,10.5,1.9,1.8,3.4,-,-,-,-,-,-
