Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,2.5,12.6,3,7.1,7,6.7,10,9.5,-,9.4,9.9,6,7.7,6.2,-,-,9.3,3.4,13.8,11.8,11.7,13.2,15.6,8,-,8,10.5,7,6.1
2011,-,-,2.3,12.5,3,7,6.8,7,10.1,11.6,-,10,10.1,5.6,8.6,7.4,-,-,10.1,4.6,13.6,12,12.3,13.7,17.8,9.3,-,7.7,11.5,6.2,6.7
2012,4.3,-,2.6,14.4,3.2,6.8,7.3,7.7,11.5,11.6,-,8.8,10.4,5.4,9.2,8.6,-,-,10.8,4.5,15,13.8,13.1,13.5,16.8,-,-,8.6,10.9,7.2,7
2013,3.6,-,2.7,13.5,3.5,7.1,7.9,8.2,12.4,-,8.5,10.5,11.7,5.5,9.9,9.8,-,-,9.3,5.1,15,13,14.1,11.5,18.1,-,-,9.8,11.3,7,6.9
2014,3.7,-,2.4,12.2,2.7,6.4,6.8,8.1,11.9,-,7,9.5,9.7,5.2,8.7,8.6,-,-,7.7,5.1,16.4,12.4,12.2,10.3,15.6,-,2.4,9.7,-,6.1,6.4
2015,4,-,2.9,13.8,2.4,6.5,7.7,7.8,11.9,-,7.9,7.7,10.8,5.6,8.4,9,-,-,5,5.1,16.1,12.1,14.2,10.9,16.6,-,2.9,11.2,-,7.3,6.8
2016,3.5,-,3,14.1,2.2,7,7.3,8.7,12.8,-,8,9.6,9.4,5.3,9.3,8.9,-,-,6.5,5.1,15.1,12.3,12.8,11,16,-,2.6,11.4,-,7.4,6.1
2017,4.1,-,3.2,13.8,2.3,6.6,7.5,8.9,13.1,-,7.9,9.3,10.5,4.9,9.9,9.7,-,-,8.9,5.8,14.3,10.9,11.8,10.3,14.6,-,2.5,11.4,-,7.8,5.7
2018,3.8,5.8,3.6,13.9,2.2,6.2,6.6,8.4,11,-,7.1,9.1,9.6,4.1,9.2,8.9,-,-,8.8,5,12.1,11,11.1,11.1,14.6,-,3,11.3,-,-,6
2019,3.9,5.9,3.7,13.8,2.4,6.2,6.9,9.1,11.6,10.5,8.7,9.5,10.1,4.4,10.6,8.7,-,-,9.1,5.1,-,10.8,12.8,11.5,15.5,-,3.6,11.1,-,-,6.1
2020,4.1,5.7,4.4,14,2.7,6.3,7,9,11.3,10.5,8.4,10.2,10.3,4.5,10.2,8.4,-,-,9.2,5.4,-,10.6,11.7,10.5,15.6,-,3.9,9.8,-,-,6.3
2021,3.8,5.9,4.3,14,2.9,6.3,6.7,9.6,12.2,10.4,8.4,10.9,11.2,4.7,10.4,8.5,-,-,10.1,4.9,-,10.7,15.2,11.6,17.6,-,4.3,9.6,-,-,6.8
2022,4.1,6.1,5.1,13.8,2.9,6,7.6,10.3,11.6,10.4,8.2,10.3,10.8,5.4,10.2,8.8,-,-,10.8,5.7,12.7,10.9,13.9,12.3,17.3,-,5.1,-,-,-,7.3
2023,4,5.8,5.3,13.6,2.5,6,7.4,11.2,11.3,10.2,7.7,10,10.4,5,9.7,10.6,-,12.9,11.5,5.9,13.7,11.2,12.8,11.2,15,-,5.4,-,-,-,-
2024,4.5,5.5,4.9,13.7,2.2,5.8,7.5,10.7,11.3,10.1,7.9,9.5,10.4,5.7,10.7,11.2,11.9,12.3,11.7,6,13.5,11,14,12.6,16.8,-,-,-,-,-,-
2025,4.9,5.9,5.4,13.8,2.1,5.5,7.3,10.3,11,9.4,8.1,9.3,10.3,4.3,10.3,10.5,10.9,12.9,12,5.2,13,11.1,14.4,12,16.1,-,-,-,-,-,-
