Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,5.3,9.7,4.2,9.8,10.5,10.1,14.1,9.6,-,15,13.8,11.2,16.3,10.7,-,-,18.1,9.2,12.8,13.2,19.4,17,18.9,13.9,-,9.2,15.8,12.6,14.7
2011,-,-,5.5,9.9,4.7,10.3,9,8.9,14.7,9.7,-,15.5,12.7,10.5,19.1,12.8,-,-,18.8,8.8,15.5,14.1,18.8,16.7,18.2,13.6,-,9.1,11.2,14.1,14
2012,4.3,-,6.2,8.8,4.3,10.4,9.4,9.6,14.6,11.1,-,16.8,15,10.4,20.1,12.1,-,-,19.6,10.5,16.4,15.8,21,18.5,24.1,-,-,10.4,11.4,15.4,14.3
2013,4.2,-,5.8,9.8,4.6,9.9,9,9,15.1,-,16.3,14,13,7.6,19.5,12.6,-,-,19.2,7.2,14.6,14.6,17.9,22.1,20.9,-,-,10.3,11.4,13.9,11.2
2014,3.7,-,6.7,9,3.4,9.2,11.3,8.6,13.4,-,15.4,14.7,13.2,7.6,20.4,11.7,-,-,16.9,9.2,14.6,14.8,16.3,20.9,21.8,-,4.6,10.4,-,12.8,11.8
2015,3.7,-,7,8.1,3.1,10.1,10.9,9.3,14.5,-,14.7,19.1,14.2,6.1,20.8,12.4,-,-,20,10.4,16.5,15.5,19.3,19.4,23.6,-,6.2,9.8,-,14.7,13.6
2016,3.4,-,7.3,8.5,3.9,11.2,10.8,10.1,13.8,-,17.8,16.1,15,5.9,23,13.7,-,-,21.6,10.6,19.6,15.2,23.3,22,25.2,-,4.2,9.7,-,14.3,13.7
2017,4.4,-,9.3,9,3.6,11.4,13.5,10.5,14.1,-,15.9,16.3,14.4,9.4,20.8,14.1,-,-,17,16.7,19,14.9,25.8,22.7,25.1,-,5.5,9.9,-,14.7,18.2
2018,3.9,4.5,8,9.9,3.5,12.3,12.3,11,16.7,-,17.5,16.3,14.2,7.1,22,13.9,-,-,17.8,15.9,16.7,15.7,22.1,22.8,25.8,-,4.4,9.4,-,-,20
2019,3.3,5,7.6,8.4,3.7,11.8,12,11,14,9.7,18.6,16.5,15.3,6.2,22.1,14.9,-,-,19.3,13.2,-,16.4,22.1,22.7,23.5,-,3.8,9.3,-,-,17.4
2020,3.6,4.7,7.9,8.6,4,11.7,10.1,11,14.2,9.8,17.8,16.3,18.1,6,21,11.5,-,-,18.4,10.4,-,15.3,24.1,22.5,23.3,-,4,9.9,-,-,16
2021,4.2,4.6,9.4,9.9,4.5,11.9,10.6,11.5,13.7,9.2,11.8,12.9,13.2,5.5,16.4,13.8,-,-,16.9,11.6,-,15.5,14.4,18.1,18.6,-,4.2,10.5,-,-,15.6
2022,3.9,4.8,11,10.1,4.6,11,10.3,10.8,13.5,9.8,18.7,14.2,14.3,6.3,21,14.6,-,-,18.1,11.3,17.5,15.1,20.7,18.9,22.6,-,4.5,-,-,-,16.3
2023,5.7,5.7,11.7,10.3,6.7,11.3,12,11.8,13.7,10.9,18.7,14.2,15.9,9.8,19.8,14.2,-,17.6,18.2,10.3,17.2,14.9,27.3,21.3,21,-,6.5,-,-,-,-
2024,5.5,10.1,9.8,10.5,8.3,12,11.2,12.8,14.1,11.1,17.6,14.6,15.6,7.5,21,16,11.9,15.6,18.5,11.1,17.6,15.7,21.4,21.6,21.8,-,-,-,-,-,-
2025,5.7,7.7,10.1,10.4,9.8,11.7,10.4,13.1,13.9,12.4,17.1,15.1,15.3,8.1,23.3,16.4,11.3,16.6,18.3,12.5,16.8,17,21.8,21.7,22.1,-,-,-,-,-,-
