Year,U.S. citizens and permanent residents,Temporary visa holders
1980,56438,17897
1981,59898,19687
1982,58656,25064
1983,63649,27497
1984,64832,27907
1985,67187,28831
1986,69949,31956
1987,70594,33389
1988,67617,35237
1989,67365,36700
1990,69454,38204
1991,72181,41354
1992,76569,41470
1993,77577,39295
1994,76018,37006
1995,71717,35484
1996,68168,35056
1997,64642,36506
1998,62249,37789
1999,60188,41503
2000,56651,47461
2001,56890,52603
2002,61277,58391
2003,67310,60067
2004,66379,57187
2005,66551,54014
2006,67698,55343
2007,71299,60377
2008,74251,63605
2009,78642,66035
2010,82295,66946
2011,79314,67187
2012,77301,71084
2013,75662,77387
2014,74013,90475
2015,73452,95902
2016,73039,95404
2017,75160,90421
2018,76770,86531
2019,79982,84022
2020,84403,73326
2021,88665,79385
2022,85274,90726
2023,83469,92090
2024,86731,89281
