Year,Biological sciences,Computer Sciences,Engineering,Health Sciences,Mathematics,Physical Sciences,Psychology,Social Science,Non-sciences
2014,5993,807,4066,1627,931,3348,3042,3047,10060
2015,6029,774,4219,1647,889,3571,3103,3635,10500
2016,6215,783,4181,1665,946,3669,3341,3509,10566
2017,6148,801,4307,1830,947,3775,3382,3534,10238
2018,6396,742,4213,1809,994,3831,3309,3382,9913
2019,6368,799,4251,1818,986,3941,3326,3376,9545
2020,5999,807,4153,1871,927,3759,3309,3285,9539
2021,5826,783,4093,1637,898,3473,3154,3062,8252
2022,6627,910,4726,1734,1000,3983,3338,3299,8849
2023,6906,965,4804,1729,977,4021,3238,3187,8931
2024,6996,1103,4910,1811,975,3121,3450,3204,8858
