Year,Biological sciences,Computer Sciences,Engineering,Health Sciences,Mathematics,Physical Sciences,Psychology,Social Sciences,Non-sciences
2014,2211,990,4759,427,843,2281,249,1318,2230
2015,2229,1029,4961,418,821,2392,260,1379,2096
2016,2266,1094,5108,416,823,2374,305,1460,2102
2017,2304,1201,4842,474,852,2497,286,1394,2152
2018,2180,1105,5039,520,821,2457,284,1484,2154
2019,2157,1163,5575,573,965,2611,339,1576,2378
2020,2129,1328,5680,598,975,2723,257,1577,2547
2021,2173,1455,5950,596,1020,2578,338,1566,2476
2022,2029,1431,5672,482,1041,2429,344,1723,2435
2023,2287,1587,6250,594,1155,2750,366,1769,2537
2024,2299,1573,6034,564,1112,2656,363,1871,2625
