Year,Australia,China,Germany,Japan,Republic of Korea,United Kingdom,United States of America
1990,19,3,228,3486,173,161,2645
1991,13,3,376,4099,198,187,2984
1992,16,4,238,4796,376,185,3504
1993,24,33,238,5345,454,185,4241
1994,23,51,306,6198,692,217,4634
1995,22,31,315,8180,810,226,5490
1996,24,31,307,7905,613,207,6436
1997,25,24,385,8965,844,249,6710
1998,53,31,456,11365,1685,339,9924
1999,43,65,508,11875,3761,338,10559
2000,52,128,536,10050,2575,351,10383
2001,59,161,772,10538,2322,347,11386
2002,77,265,969,10086,2391,479,11585
2003,102,657,1234,10519,2606,503,12882
2004,115,1064,1323,11093,2943,532,13255
2005,157,1130,1322,10688,4103,539,12994
2006,199,1522,1717,13140,6522,568,18334
2007,215,2216,1687,14360,6588,482,16941
2008,187,3470,1835,15122,5628,543,18763
2009,207,4561,1650,16289,5109,632,21752
2010,283,3815,2086,18249,5550,771,27265
2011,312,5223,1985,21675,6791,782,28816
2012,251,8036,2199,24178,7467,828,34347
2013,190,7662,2280,24032,8108,829,37084
2014,215,7782,2470,22712,9231,911,40466
2015,187,11872,2203,17767,8834,937,38090
2016,199,19931,2362,19076,9572,1003,40870
2017,164,29524,2492,17821,10004,1163,40440
2018,150,33773,2612,16668,10379,1194,38831
2019,198,40799,2904,16925,11860,1477,44442
2020,225,54278,2904,16464,13587,1970,44097
2021,255,75117,2813,16059,14926,2171,44122
2022,273,104877,2895,17000,15260,2016,42422
2023,305,147998,3043,17511,16375,2174,46243
2024,258,175748,3284,17909,16327,2181,44574
