Year,Academe,Government,Industry or business,Nonprofit organization,Other or unknown
1990,0.512,0.095,0.203,0.072,0.119
1991,0.518,0.094,0.192,0.072,0.124
1992,0.515,0.096,0.188,0.073,0.127
1993,0.516,0.098,0.185,0.064,0.137
1994,0.515,0.092,0.193,0.068,0.132
1995,0.53,0.087,0.196,0.066,0.121
1996,0.505,0.086,0.222,0.066,0.122
1997,0.479,0.081,0.221,0.061,0.158
1998,0.481,0.079,0.239,0.057,0.145
1999,0.508,0.084,0.23,0.059,0.12
1999,0.508,0.084,0.23,0.059,0.12
2000,0.511,0.083,0.208,0.065,0.134
2001,0.52,0.075,0.224,0.059,0.121
2002,0.544,0.083,0.188,0.063,0.122
2003,0.549,0.085,0.172,0.065,0.129
2004,0.569,0.084,0.15,0.061,0.136
2004,0.569,0.084,0.15,0.061,0.136
2005,0.563,0.082,0.169,0.06,0.127
2006,0.547,0.074,0.171,0.052,0.156
2007,0.553,0.074,0.184,0.05,0.139
2008,0.55,0.077,0.184,0.054,0.135
2009,0.546,0.081,0.187,0.053,0.133
2009,0.546,0.081,0.187,0.053,0.133
2010,0.546,0.103,0.183,0.057,0.112
2011,0.555,0.095,0.198,0.064,0.088
2012,0.547,0.088,0.213,0.064,0.088
2013,0.545,0.092,0.219,0.064,0.08
2014,0.538,0.089,0.237,0.063,0.073
2014,0.538,0.089,0.237,0.063,0.073
2015,0.53,0.087,0.24,0.071,0.072
2016,0.485,0.09,0.265,0.067,0.094
2017,0.509,0.092,0.262,0.072,0.066
2018,0.475,0.087,0.278,0.075,0.086
2019,0.452,0.093,0.295,0.076,0.083
2019,0.452,0.093,0.296,0.076,0.083
2020,0.438,0.101,0.302,0.073,0.086
2021,0.399,0.1,0.338,0.082,0.082
2022,0.372,0.093,0.379,0.081,0.076
2023,0.385,0.092,0.368,0.08,0.076
2024,0.425,0.098,0.322,0.079,0.076
