Year,EB1,EB2,EB3,EB1.1,EB2.1,EB3.1
2002,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2003,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2004,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2005,0.0,0.0,19.7777777777777,0 years 0 months,0 years 0 months,1 year 7 months
2006,4.26363636363636,14.8787878787878,60.05,0 years 4 months,1 year 2 months,5 years 0 months
2007,0.727272727272727,17.1590909090909,57.2,0 years 0 months,1 year 5 months,4 years 9 months
2008,0.0,24.4861111111111,67.9722222222222,0 years 0 months,2 years 0 months,5 years 7 months
2009,0.0,26.4583333333333,80.8571428571428,0 years 0 months,2 years 2 months,6 years 8 months
2010,0.0,15.6458333333333,89.3958333333333,0 years 0 months,1 year 3 months,7 years 5 months
2011,0.0,14.8458333333333,81.7583333333333,0 years 0 months,1 year 2 months,6 years 9 months
2012,0.0,21.9583333333333,83.625,0 years 0 months,1 year 9 months,6 years 11 months
2013,0.0,22.6875,78.1458333333333,0 years 0 months,1 year 10 months,6 years 6 months
2014,0.0,24.9513888888888,62.2847222222222,0 years 0 months,2 years 0 months,5 years 2 months
2015,0.0,28.3819444444444,62.625,0 years 0 months,2 years 4 months,5 years 2 months
2016,5.3,37.8277777777777,62.8666666666666,0 years 5 months,3 years 1 month,5 years 2 months
2017,8.86666666666666,34.2333333333333,45.8166666666666,0 years 8 months,2 years 10 months,3 years 9 months
2018,23.7,35.85,38.6,1 year 11 months,2 years 11 months,3 years 2 months
2019,25.3041666666666,35.0833333333333,41.35,2 years 1 month,2 years 11 months,3 years 5 months
2020,17.2166666666666,37.3666666666666,46.4166666666666,1 year 5 months,3 years 1 month,3 years 10 months
2021,1.2,34.4,30.0999999999999,0 years 1 month,2 years 10 months,2 years 6 months
2022,0.0,29.3499999999999,34.9666666666666,0 years 0 months,2 years 5 months,2 years 10 months
2023,13.7333333333333,45.5166666666666,48.0166666666666,1 year 1 month,3 years 9 months,4 years 0 months
2024,11.2181818181818,49.690909090909,52.2727272727272,0 years 11 months,4 years 1 month,4 years 4 months
2025,14.3166666666666,54.2166666666666,57.25,1 year 2 months,4 years 6 months,4 years 9 months
2026,14.2666666666666,52.6666666666666,59.7333333333333,1 year 2 months,4 years 4 months,4 years 11 months
