Country Name,European Union,China,United States,Japan,Germany
2004,1834571056659.49,625223497459.948,1609515155000,1033455029438.13,564462968837.067
2005,1881931367980.35,733654641625.409,1692920894000,1035063174684.4,572005337251.362
2006,2003636110072.03,893126575136.096,1794744585000,984723037885.869,619584028662.352
2007,2327811337341.73,1149715189236.14,1848323547000,1001843681928.77,715273045837.257
2008,2482202629143.12,1475673942655.09,1804393692000,1086396509271.04,752442910078.906
2009,2041500646527.12,1611942474298.15,1693758354000,1007525908383.13,603141578344.14
2010,2106608373162.17,1924333072319.58,1791742513000,1195940413448.98,673576752583.335
2011,2334293457757.78,2421387361155.63,1863738024000,1217679850774.28,769414401692.609
2012,2135763061814.14,2690076711732.41,1927324612000,1233567341928.23,720997706882.813
2013,2210249257155.23,2935359967255.02,1987179289000,1007492564067.57,752269963536.473
2014,2301914815494.94,3184217491389.99,2045615226000,959497947967.376,797344914732.546
2015,2074881742625.18,3202510065357.0,2123243202000,909542617885.21,689745331150.39
2016,2134611700263.45,3153128508921.24,2098271549000,1015148046907.99,721965379415.955
2017,2258565632404.39,3460348237641.4,2192925367000,1007663265490.27,756559910375.295
2018,2426901650006.91,3868482846608.59,2330106524000,1039514535670.66,803196685980.392
2019,2350690820307.17,3823422172446.96,2364316202000,1035072432041.15,764634674431.371
2020,2253672867155.6,3860697899030.64,2238531370000,1013420026631.82,730242522726.85
2021,2573877512538.04,4909020290402.74,2497131582000,1047115010868.72,808884377244.173
