Year,Agricultural Sciences,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Architecture and Related Services,"Area, Ethnic, Cultural, Gender, and Group Studies",Biological and Biomedical Sciences,"Business, Management, Marketing, and Related Support Services","Communication, Journalism, and Related Programs",Communications Technologies/Technicians and Support Services,Computer and Information Sciences and Support Services,Construction Trades,"Culinary, Entertainment, and Personal Services",Education,Engineering,Engineering/Engineering-Related Technologies/Technicians,English Language and Literature/Letters,Family and Consumer Sciences/Human Sciences,"Foreign Languages, Literatures, and Linguistics",Health Professions and Related Programs,History,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services","Job-Seeking/Changing Skills Programs, Other",Legal Professions and Studies,"Liberal Arts and Sciences, General Studies and Humanities",Library Science,Mathematics and Statistics,Mechanic and Repair Technologies/Technicians,Military Technologies and Applied Sciences,Multi/Interdisciplinary Studies,Natural Resources and Conservation,Other,"Parks, Recreation, Leisure, Fitness, and Kinesiology",Philosophy and Religious Studies,Physical Sciences,Precision Production,Psychology,Public Administration and Social Service Professions,Sales and Marketing Operations/Marketing and Distribution,Science Technologies/Technicians,Social Sciences,Theology and Religious Vocations,Transportation and Materials Moving,Visual and Performing Arts,Vocational Home Economics
1995,2.39,1.54,5.06,3.99,2.25,5.27,2.56,3.78,9.28,6.19,0.79,0.68,7.58,3.3,1.1,1.6,3.46,1.27,,0.62,2.77,0.34,1.67,2.0,4.31,7.46,0.0,1.82,1.18,3.17,1.34,2.01,3.73,1.42,1.3,0.97,7.08,2.84,2.82,3.69,1.93,4.82,2.33
1996,2.05,1.54,5.1,3.62,2.2,5.54,2.7,2.19,8.93,6.25,2.73,0.85,7.55,3.69,1.08,1.61,3.22,1.31,,0.51,7.93,0.53,1.57,1.72,4.23,6.35,0.0,1.45,1.29,3.22,1.22,2.12,3.46,1.0,1.38,0.89,7.2,2.82,2.99,3.36,3.22,4.95,1.01
1997,1.78,1.77,6.41,3.45,2.24,5.63,2.9,2.23,8.0,3.7,1.91,0.91,7.7,3.88,1.06,1.63,3.46,1.28,,0.5,10.1,0.44,1.77,2.08,4.09,4.17,0.0,1.43,1.16,3.29,1.47,1.71,3.4,2.15,1.4,0.8,6.32,0.75,3.06,3.13,3.72,5.56,2.61
1998,1.86,1.5,7.02,3.73,2.12,5.75,3.02,4.6,7.87,1.65,4.2,0.79,7.63,3.97,1.01,1.54,3.38,1.06,,0.55,4.63,0.44,1.85,1.37,3.69,15.45,0.0,1.56,1.41,3.28,1.46,1.85,3.44,2.46,1.57,1.12,6.79,1.27,3.0,3.01,4.57,5.46,3.49
1999,1.53,1.46,6.49,3.08,2.15,5.27,2.82,5.89,7.58,1.47,2.59,0.83,7.64,3.64,0.97,1.5,3.22,1.07,,0.46,1.51,0.31,2.0,0.0,3.73,6.67,0.0,1.76,1.47,3.15,1.38,2.22,3.25,2.69,1.49,0.85,5.15,1.44,2.94,3.26,4.54,5.22,1.04
2000,1.22,1.03,6.33,2.97,2.12,4.97,2.8,2.02,7.91,2.15,2.98,0.81,7.63,2.96,1.04,1.34,3.05,1.06,,0.57,3.09,1.03,1.67,0.65,3.91,17.65,0.0,1.76,1.56,3.11,1.38,1.89,3.1,1.9,1.71,1.01,4.26,2.36,2.88,2.95,4.3,4.8,2.39
2001,1.25,1.51,6.93,2.88,2.31,4.84,2.51,4.3,8.02,3.45,3.91,0.87,7.47,3.48,1.0,1.29,2.72,1.41,,0.37,7.41,0.76,1.77,3.85,3.69,2.78,4.76,1.92,1.55,3.16,1.55,1.87,3.35,1.83,1.73,0.87,4.44,2.23,2.94,2.54,3.37,4.57,0.92
2002,1.12,1.42,5.82,2.63,2.36,4.81,2.45,1.63,8.12,1.49,2.78,1.03,7.04,3.11,1.01,1.46,2.94,1.09,,0.42,3.79,0.6,1.84,2.7,3.69,4.21,0.0,2.03,1.87,3.17,1.63,1.85,3.36,2.14,1.77,1.05,5.08,1.92,2.95,2.97,3.7,4.41,2.67
2003,,1.47,5.59,2.61,2.42,4.7,2.32,2.15,8.31,2.41,4.17,0.81,6.76,3.04,0.9,1.18,2.72,1.3,0.74,0.57,,0.76,1.56,2.02,4.72,6.74,0.0,2.3,1.52,3.15,1.69,1.57,3.21,14.29,1.76,1.01,,3.25,3.42,2.35,2.98,4.27,
2004,,1.32,4.84,2.34,2.55,4.7,2.17,1.87,8.43,0.0,3.79,0.91,7.08,3.48,1.01,1.23,2.39,1.21,0.65,0.6,,0.74,1.64,0.0,4.8,5.29,0.0,2.05,1.59,3.16,1.58,1.56,3.53,3.28,1.78,0.95,,1.03,3.4,2.53,3.13,3.99,
2005,,1.47,4.99,2.2,2.93,4.88,2.17,3.62,7.31,2.54,4.52,0.78,7.23,3.32,0.95,1.21,2.37,1.4,0.7,0.62,,0.69,1.82,0.0,4.96,3.4,0.0,2.26,1.8,3.12,1.65,1.27,3.95,1.52,1.75,0.95,,2.1,3.24,1.8,2.97,3.54,
