Year,U.S. citizens and permanent residents,Temporary visa holders
1980,3283,1093
1981,3504,1359
1982,3413,1272
1983,3716,1326
1984,3861,1492
1985,3785,1670
1986,3921,1883
1987,3801,2265
1988,3976,2433
1989,4178,2848
1990,4446,3316
1991,4328,3680
1992,4616,4248
1993,5092,4565
1994,5517,5073
1995,5319,4447
1996,5482,5056
1997,6081,5136
1998,6744,5466
1999,6159,5661
2000,6825,6066
2001,6306,6809
2002,6139,6958
2003,6121,6941
2004,6187,6988
2005,7429,6670
2006,7036,7420
2007,6996,7621
2008,8641,7320
2009,8930,8071
2010,9725,9394
2011,9372,9146
2012,9650,9360
2013,9289,9258
2014,9642,9328
2015,9133,9433
2016,9605,9370
2017,9467,9186
2018,9519,9786
2019,9419,10059
2020,8821,9657
2021,8988,8811
2022,7908,9834
2023,8150,10667
