Reason,Fall 2018,Fall 2021,Fall 2025
More active recruitment efforts by my institution,58,52,71
Increased athletic outreach and recruitment,,,63
More active outreach to admitted students,47,46,54
Growing reputation and visibility of my institution abroad,48,31,47
Improved support for enrolled international students,,25,41
Growth of institutional scholarship opportunities for international students,24,18,24
Lower tuition and costs to the students,9,6,23
Increased partnerships with educational recruitment agencies,26,22,23
Increased support staff for recruitment of international students,20,9,18
Increased recruitment of international students enrollment at U.S. high schools,,18,13
