Year,China,India,South Korea,Vietnam,Canada,Nepal,Brazil,Mexico,Japan,Saudi Arabia
2000,"8,252","12,259","18,781","1,421","13,480","1,892","4,994","6,075","32,136","2,833"
2001,"8,659","14,321","19,786","1,852","13,472","2,141","4,921","7,345","31,588","3,080"
2002,"9,484","13,813","21,774","1,924","13,859","2,665","4,469","7,737","31,489","2,355"
2003,"8,034","13,531","22,727","2,226","13,996","3,017","4,243","8,303","27,925","2,022"
2004,"8,299","16,443","23,432","2,429","13,710","3,217","3,755","8,200","28,708","1,700"
2005,"9,304","12,726","26,946","3,043","14,257","4,037","3,582","8,211","24,759","1,688"
2006,"9,988","12,581","28,228","4,122","13,546","5,187","3,520","7,985","22,247","3,394"
2007,"16,450","13,639","32,934","5,945","13,623","5,720","3,712","8,606","20,831","5,772"
2008,"26,275","15,600","37,078","9,247","14,261","7,894","4,201","8,934","16,770","7,563"
2009,"39,921","15,192","36,234","8,864","13,607","7,209","4,083","7,715","13,063","8,767"
2010,"56,976","14,004","37,944","11,054","13,154","6,068","4,061","8,163","10,544","10,946"
2011,"74,516","13,059","38,232","11,244","12,866","5,132","4,215","7,564","9,359","14,344"
2012,"93,789","12,740","38,094","11,382","13,395","4,160","4,683","7,956","9,126","20,667"
2013,"110,550","12,677","36,992","11,886","13,916","3,370","5,097","8,311","9,155","26,865"
2014,"124,552","16,521","34,651","12,449","13,131","3,332","6,874","8,210","8,877","30,861"
2015,"135,629","19,302","32,695","14,390","13,223","4,394","6,990","9,640","9,285","33,952"
2016,"142,851","21,977","30,080","15,266","13,191","6,256","6,310","9,395","9,095","32,538"
2017,"148,593","23,346","27,638","16,933","12,581","7,378","7,359","8,802","9,190","27,646"
2018,"148,880","24,813","25,161","17,048","12,470","7,471","7,768","8,549","9,001","21,778"
2019,"148,160","25,032","23,415","16,589","12,409","6,513","8,372","7,993","8,684","16,839"
2020,"125,616","23,734","17,743","15,282","11,981","5,327","7,273","7,303","7,243","11,738"
2021,"109,492","27,545","18,262","13,947","13,004","4,518","7,345","7,738","7,008","8,649"
2022,"100,349","31,954","19,306","14,295","13,051","6,288","7,860","7,254","7,191","7,507"
2023,"87,551","36,053","17,760","13,848","13,726","7,461","8,213","8,133","6,453","6,575"
2024,"78,583","40,135","16,650","16,156","15,017","12,642","8,590","8,201","6,327","5,867"
