Year,Associates,Bachelors,Masters,Doctorate,Professional,Graduate - Unspecified,Non-Degree,Optional Practical Training (OPT)
1999,11.6,34.5,21.5,14.2,1.8,4.8,6.6,4.8
2000,12.3,34.1,22.6,14.1,1.5,5.4,6.2,3.8
2001,11.6,33.2,23.8,14.0,1.4,6.2,5.9,3.9
2002,12.4,32.0,23.6,15.7,1.3,5.0,5.2,4.7
2003,12.1,31.2,24.9,17.5,1.4,4.1,3.6,5.1
2004,11.6,30.7,21.5,18.1,1.4,5.9,5.0,5.8
2005,11.3,30.6,20.4,19.1,1.5,4.9,5.4,6.7
2006,11.6,29.2,21.0,18.5,1.3,4.6,6.7,7.1
2007,10.5,28.5,21.4,17.5,1.5,4.0,7.5,9.1
2008,11.0,29.2,21.4,16.1,1.5,3.2,7.7,9.9
2009,9.9,29.8,21.9,16.8,1.5,2.3,7.9,9.8
2010,9.9,30.4,21.4,16.5,1.5,1.5,8.2,10.5
2011,8.4,32.0,20.1,15.4,1.6,2.2,9.1,11.1
2012,8.3,33.2,20.3,14.4,1.5,1.9,9.0,11.6
2013,7.9,34.0,20.5,13.0,1.3,2.5,9.0,12.0
2014,7.1,33.8,21.4,12.1,1.0,2.6,9.6,12.3
2015,7.5,33.4,22.4,11.8,1.2,1.4,8.2,14.1
2016,7.1,33.6,22.0,11.6,1.1,1.5,6.8,16.3
2017,7.2,33.2,20.6,11.3,1.2,1.9,6.0,18.6
2018,6.4,33.0,20.1,12.1,1.1,1.2,5.7,20.4
2019,5.9,33.1,19.6,12.7,1.1,1.3,5.4,20.8
2020,5.5,33.9,18.2,14.5,1.4,1.9,2.3,22.3
2021,4.3,32.1,22.7,14.3,1.4,2.2,3.6,19.5
2022,4.0,28.9,27.9,13.4,1.7,1.2,4.1,18.8
2023,4.1,26.3,28.3,13.3,1.6,1.3,3.4,21.5
2024,4.8,25.6,26.0,13.0,1.4,1.1,3.2,25.0
