Year,U.S. Study Abroad,Total US Enrollment
1990,70727,13539000
1992,71154,14359000
1994,76302,14305000
1995,84403,14279000
1996,89242,14262000
1997,99448,14368000
1998,113959,14502000
1999,129770,14507000
2000,143590,14791000
2001,154168,15312000
2002,160920,15928000
2003,174629,16612000
2004,191321,16911000
2005,205983,17272000
2006,223534,17487000
2007,241791,17672000
2008,262416,18248000
2009,260327,19103000
2010,270604,20428000
2011,273996,20550000
2012,283332,20625000
2013,289408,21253000
2014,304467,21216000
2015,313415,20300000
2016,325339,20264000
2017,332727,20185000
2018,341751,19831000
2019,347099,19828000
2020,162633,19720000
2021,14549,19744000
2022,188753,20327000
2023,280716,18961280
2024,298180,18939568
