bornCountry (normalized),Count,Percent
United Kingdom,15,0.1389
Germany,12,0.1111
Canada,10,0.0926
Poland,7,0.0648
Japan,7,0.0648
France,6,0.0556
China,6,0.0556
South Africa,4,0.037
Italy,4,0.037
Austria,4,0.037
Hungary,3,0.0278
Ukraine,2,0.0185
Russia,2,0.0185
Norway,2,0.0185
Czech Republic,2,0.0185
Australia,2,0.0185
Venezuela,1,0.0093
Turkey,1,0.0093
Tunisia,1,0.0093
the Netherlands,1,0.0093
Taiwan,1,0.0093
Switzerland,1,0.0093
Sweden,1,0.0093
Spain,1,0.0093
South Korea,1,0.0093
Romania,1,0.0093
Pakistan,1,0.0093
New Zealand,1,0.0093
Mexico,1,0.0093
Lithuania,1,0.0093
Lebanon,1,0.0093
Jordan,1,0.0093
Israel,1,0.0093
Ireland,1,0.0093
India,1,0.0093
Egypt,1,0.0093
