Chapter,Page,PageRow,PageBodyRows,PageSectionHeaders,PageRenderedRows,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 1,1,1,32,4,36,research_doctorates,Expansion of US higher education,Research doctorates awarded,FIG101,NA,NA,"41,700*","58,100²⁰²⁴",1.39×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,2,32,4,36,all_bachelors,Expansion of US higher education,"Bachelor’s degrees awarded, all fields",FIG102,NA,NA,"1,160,000*","2,040,000",1.76×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,3,32,4,36,all_masters,Expansion of US higher education,"Master’s degrees awarded, all fields",FIG102,NA,NA,"404,000*","983,000",2.44×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,4,32,4,36,all_doctorates,Expansion of US higher education,"Doctorates awarded, all fields",FIG102,NA,NA,"114,000*","218,000",1.91×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,5,32,4,36,stem_total,Growth and composition of STEM training,Total STEM degrees awarded,FIG102 + FIG103,NA,NA,"306,000","792,000",2.59×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,6,32,4,36,stem_bachelors,Growth and composition of STEM training,STEM bachelor’s degrees awarded,FIG102 + FIG103,NA,NA,"223,000","521,000",+134%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,7,32,4,36,stem_masters,Growth and composition of STEM training,STEM master’s degrees awarded,FIG102 + FIG103,NA,NA,"63,800","230,000",+261%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,8,32,4,36,stem_doctorates,Growth and composition of STEM training,STEM doctorates awarded,FIG102 + FIG103,NA,NA,"18,800","39,900",+112%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,9,32,4,36,stem_md_ratio,Growth and composition of STEM training,Master’s-to-doctorate ratio in STEM,FIG102 + FIG103,NA,NA,3.39:1,5.77:1,1.7×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,10,32,4,36,stem_share_bachelors,Growth and composition of STEM training,STEM share of bachelor’s degrees,FIG102 + FIG103,NA,NA,19.2%,25.5%,+6.3 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,11,32,4,36,stem_share_masters,Growth and composition of STEM training,STEM share of master’s degrees,FIG102 + FIG103,NA,NA,15.8%,23.4%,+7.6 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,12,32,4,36,stem_share_doctorates,Growth and composition of STEM training,STEM share of doctorates,FIG102 + FIG103,NA,NA,16.5%,18.3%,+1.9 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,13,32,4,36,intl_students,International enrollment and degree dependence,Students in US higher education,FIG104,NA,NA,"453,000*","1,180,000",2.6×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,14,32,4,36,intl_enrollment_share,International enrollment and degree dependence,Share of total US enrollment,FIG104,NA,NA,3.2%*,6.1%,+2.9 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,15,32,4,36,intl_all_bachelors,International enrollment and degree dependence,Share of all bachelor’s degrees,FIG105,NA,NA,3.17%,4.09%²⁰²⁴,+0.9 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,16,32,4,36,intl_all_masters,International enrollment and degree dependence,Share of all master’s degrees,FIG105,NA,NA,12.2%,20.5%²⁰²⁴,+8.3 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,17,32,4,36,intl_all_doctorates,International enrollment and degree dependence,Share of all doctorates,FIG105,NA,NA,21.2%,33.3%²⁰²⁴,+12.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,18,32,4,36,intl_stem_bachelors,International enrollment and degree dependence,Share of STEM bachelor’s degrees,FIG106,NA,NA,4.94%,6.34%,+1.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,19,32,4,36,intl_stem_masters,International enrollment and degree dependence,Share of STEM master’s degrees,FIG106,NA,NA,30%,51.3%,+21.3 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,20,32,4,36,intl_stem_doctorates,International enrollment and degree dependence,Share of STEM doctorates,FIG106,NA,NA,26.1%,38.7%,+12.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 1,1,21,32,4,36,tab101_cs_bachelors,International share in selected STEM fields,Computer science bachelor’s degrees,TAB101,NA,NA,9.28%,8.51%,-0.8 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,22,32,4,36,tab101_cs_masters,International share in selected STEM fields,Computer science master’s degrees,TAB101,NA,NA,37.5%,64.9%,+27.4 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,23,32,4,36,tab101_cs_doctorates,International share in selected STEM fields,Computer science research doctorates,TAB101,NA,NA,42.1%,54.9%,+12.8 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,24,32,4,36,tab101_engineering_bachelors,International share in selected STEM fields,Engineering bachelor’s degrees,TAB101,NA,NA,7.58%,7.09%,-0.5 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,25,32,4,36,tab101_engineering_masters,International share in selected STEM fields,Engineering master’s degrees,TAB101,NA,NA,33.9%,49.3%,+15.4 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,26,32,4,36,tab101_engineering_doctorates,International share in selected STEM fields,Engineering research doctorates,TAB101,NA,NA,49%,54.7%,+5.7 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,27,32,4,36,tab101_math_bachelors,International share in selected STEM fields,Mathematics and statistics bachelor’s degrees,TAB101,NA,NA,4.31%,16.8%,+12.5 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,28,32,4,36,tab101_math_masters,International share in selected STEM fields,Mathematics and statistics master’s degrees,TAB101,NA,NA,27.6%,54.6%,+27.0 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,29,32,4,36,tab101_math_doctorates,International share in selected STEM fields,Mathematics and statistics research doctorates,TAB101,NA,NA,44.8%,52.8%,+8.0 pp,Explicit TAB101 2015 → 2025 columns,CHECK: earlier cell has no year
Chapter 1,1,30,32,4,36,tab101_physical_sciences_bachelors,International share in selected STEM fields,Physical sciences bachelor’s degrees,NA,NA,NA,3.73%,5.94%,+2.2 pp,Explicit TAB101 2015 → 2025 columns,CHECK: source map missing
Chapter 1,1,31,32,4,36,tab101_physical_sciences_masters,International share in selected STEM fields,Physical sciences master’s degrees,NA,NA,NA,30.6%,32.7%,+2.1 pp,Explicit TAB101 2015 → 2025 columns,CHECK: source map missing
Chapter 1,1,32,32,4,36,tab101_physical_sciences_doctorates,International share in selected STEM fields,Physical sciences research doctorates,NA,NA,NA,32.8%,38.1%,+5.2 pp,Explicit TAB101 2015 → 2025 columns,CHECK: source map missing
Chapter 2,1,1,30,6,36,total_international_students,Scale and academic level,International students in US higher education,FIG301,NA,NA,"548,000","1,180,000",2.15×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,2,30,6,36,international_undergraduates,Scale and academic level,International undergraduate students,FIG301,NA,NA,"254,000","357,000",+40.4%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,3,30,6,36,international_graduates,Scale and academic level,International graduate students,FIG301,NA,NA,"238,000","488,000",+105%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,4,30,6,36,masters_share,Scale and academic level,Master’s share of international enrollment,FIG301,NA,NA,22.6%,26%,+3.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,5,30,6,36,doctorate_share,Scale and academic level,Doctorate share of international enrollment,FIG301,NA,NA,14.1%,13%,-1.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,6,30,6,36,opt_share,Scale and academic level,OPT share of international enrollment,FIG301,NA,NA,3.84%,25%,+21.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,7,30,6,36,asia_count,Geographic concentration,International students from Asia,TAB201,NA,NA,"302,000","843,000",+179%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,8,30,6,36,asia_share,Geographic concentration,Asia’s share of international students,TAB201,NA,NA,55.1%,71.6%,+16.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,9,30,6,36,china_undergraduate_share,Geographic concentration,  China’s share of international undergraduates,FIG201,NA,NA,3.16%,22%,+18.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,10,30,6,36,china_graduate_share,Geographic concentration,  China’s share of international graduate students,FIG202,NA,NA,19.7%,24.6%,+5.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,11,30,6,36,india_undergraduate_share,Geographic concentration,  India’s share of international undergraduates,FIG201,NA,NA,4.7%,11.2%,+6.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
