name,profile,size,css_width_px,export_zoom,expected_width_px,actual_width_px,actual_height_px,overflow_px,body_font_pt,header_font_pt,column_label_font_pt,spanner_font_pt,title_font_pt,source_font_pt,row_padding_pt,column_padding_pt,heading_padding_pt,source_padding_pt,body_lineheight,header_lineheight,title_lineheight,source_lineheight,status
tab_1_01,ultrawide,long,1080,1.9444444444444444,2100,2100,982,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_2_01,ultrawide,long,1080,1.9444444444444444,2100,2100,1019,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_2_02,ultrawide,standard,1080,1.9444444444444444,2100,2100,2835,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_3_01,wide,standard,900,2.3333333333333335,2100,2100,691,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_3_02,wide,standard,900,2.3333333333333335,2100,2100,1024,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_3_03,standard,standard,672,3.125,2100,2100,1375,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_4_01,standard,standard,672,3.125,2100,2100,844,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_4_02,standard,standard,672,3.125,2100,2100,694,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_4_03,standard,standard,672,3.125,2100,2100,997,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_4_04,standard,standard,672,3.125,2100,2100,1034,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_01,ultrawide,standard,1080,1.9444444444444444,2100,2100,2016,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_02,standard,standard,672,3.125,2100,2100,884,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_03,ultrawide,standard,1080,1.9444444444444444,2100,2100,1312,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_04,ultrawide,standard,1080,1.9444444444444444,2100,2100,1386,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_05,ultrawide,standard,1080,1.9444444444444444,2100,2100,1019,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_5_06,ultrawide,standard,1080,1.9444444444444444,2100,2100,2042,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_6_01,standard,standard,672,3.125,2100,2100,809,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_6_02,standard,standard,672,3.125,2100,2100,1375,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_6_03,standard,standard,672,3.125,2100,2100,809,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_6_04,standard,standard,672,3.125,2100,2100,834,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
tab_6_05,standard,standard,672,3.125,2100,2100,809,0,8.1,8.1,8.1,8.1,9.9,7.2,4,4,5,5,1.15,1.1,1.15,1.15,PASS
